Job Title,Location,Link,Job Responsibilities,Profile,Additional Information
Beauty Consultant (m/w/x) Berlin AlexSephoraReference: 225730,Beauty Consultant (m/w/x) Berlin Alex,https://www.lvmh.com/join-us/our-job-offers/225730,Not Available,"Profile.Für unseren Corner im Galeria Karstadt Kaufhof in Berlin Alex suchen wir in Teil- oder Vollzeit:Verkäufer (m/w/x) im Bereich Beauty  Wir suchen dich als VerkäuferIn / Beauty Consultant mit …… einem Händchen für die Kreation von einzigartigen Verkaufserlebnissen, einer Leidenschaft für unsere unvergleichliche Auswahl an Beauty-Produkten sowie einem ausgeprägten Teamgeist.  Dich erwarten …... eine attraktive Vergütung ... eine überdurchschnittliche Anzahl an Urlaubstagen ... Personalrabatte & Fitnessangebote ... eine betriebliche Altersvorsorge ... Weiterbildung & Flächentrainings ... ein positives Umfeld & respektvolle Teamarbeit   Deine Mission wird es sein, …… eindrucksvolle Kundenerlebnisse zu kreieren. Bereite eine einladende Atmosphäre, indem du individuell auf die Bedürfnisse unserer Kunden und Kundinnen eingehst. … dein Experten-Wissen im Bereich Make Up zu teilen. Entfalte deine Kreativität, deine ansteckende Leidenschaft und dein Wissen über unsere einzigartigen Marken und Produkte.… den Erfolg des Stores zu unterstützen. Hilf dabei, einen glänzenden ersten Eindruck zu hinterlassen, indem du den Store sauber und ordentlich hältst. … deinen Teamgeist auszuleben. Trage zu den Verkaufszielen deines Stores bei und teile dein Wissen über die Sephora Verkaufsstrategien mit deinen Kollegen und Kolleginnen.  Wir freuen uns auf dich, wenn du ...… eine abgeschlossene Ausbildung oder vergleichbare Erfahrung im Bereich Beauty, Kosmetik, Retail, Fashion oder Gastronomie mitbringst.… ein aufgeschlossener und geselliger Mensch mit Verkaufserfahrung bist.… deine Stärken im Bereich Kommunikation, Zuverlässigkeit und Organisation hast.… keine Schwierigkeit damit hast, kurze Gespräche auch auf Englisch zu führen.  Als Teil der LVMH-Familie liegt es in unserer DNA, innovativ zu sein. Bei Sephora wirst du von engagierten Führungskräften und energiegeladenen Teams umgeben sein, die Spaß daran haben überraschend anders zu sein. Gemeinsam mit dir möchten wir an deinem individuellen Karriereweg arbeiten und deine Kreativität entfesseln, damit du dich weiterentwickeln und deine Fähigkeiten ausbauen kannst.   Hast du Interesse?Bewirb Dich jetzt als „Beauty Consultant Berlin Alex“ inklusive Lebenslauf und unter Angabe deiner Verfügbarkeit und Gehaltsvorstellung per E-Mail an karriere@sephora.de .",Not Available
"Sales Associate (m/f/d) Munich, Oberpollinger Christian Dior CoutureReference: CDC08897","Sales Associate (m/f/d) Munich, Oberpollinger",https://www.lvmh.com/join-us/our-job-offers/CDC08897,"Job responsibilities“Whatever you do — for work or pleasure — do it with passion! Live with passion!” Christian Dior  
Christian Dior Couture offers more than a beautiful brand to our clients; We invite them to be part of the heritage, to share our passion for luxury and to be part of the Dior family. We look for the same desire in our employees, to have enthusiasm and passion about being part of the House of Dior.
For our boutique in Munich Oberpollinger, we are looking for a Sales Associate talent with passion and drive. As a member of our team, you are responsible for excellent customer care and service quality according to our current standards. You are the ambassador of the Maison Christian Dior and make every customer feel welcomed and cherished on an exclusive level.
 
 TASKS & RESPONSIBILITIES

Achieve and exceed individual Sales Goals and Key Performance Indicators (KPI) 
Maintain a strong drive for results and a positive mindset at all times 
Ensure a welcoming client focused environment, which includes offering best in class service, in person, over the phone and through electronic communication 
Develop local and international client book with the ability to recruit and develop top clients 
Demonstrate strong product expertise, engage clients through the details and stories of our products 
Problem-solving in partnership with the management team to ensure that each client issue is properly resolved to the benefit of the business and the client","Profile
2+ years of experience in retail or hospitality environment
Strong drive for business results with a passion for creativity, fashion and the Maison
Strong communication skills, empathy, and agile mindset
Ability to develop lasting relationships with people through strong communication
Provide outstanding customer service including in person, over the phone and through electronic communication
Prioritization and time management skills in a fast-paced environment
Fluent in German and English, another language on top is a plus","Additional informationThe opportunity to join the LVMH Group (Louis Vuitton Moët Hennessy), the world leader in high-quality and luxury products. We are working in an international environment with passionate people and amazing development opportunities – as we follow the lifelong learning approach. 
Working at Dior is not only about entering the world of exclusive luxury, it also offers lovely benefits. 

Holiday entitlement of 6 weeks per year 
Lunch benefit of 100€ net per month 
Public transportation support of 100€ net per month
Additional day off on birthday
Access to Corporate Benefits
Special Employee conditions after successful completion of probation period
Pension Scheme exclusive for DIOR
Referral Program Bonus “Talents are knowing good Talents”
Family Atmosphere & Flat Hierarchies
Opportunities for further training and development
Career opportunities withing the LVMH Group

 We are already looking forward receiving your application!"
Regional Sales Development Manager (m/w/d)BeneFit CosmeticsReference: BEFI100973,Regional Sales Development Manager (m/w/d),https://www.lvmh.com/join-us/our-job-offers/BEFI100973,Not Available,"ProfileDein Profil:

Du hast 2-5 Jahre Führungserfahrung im Retail mit Team- und Sell out Verantwortung z. B. als Außendienstmitarbeiter:in in einer internationalen Firma. (Erfahrungen in der Beauty Industrie von Vorteil)
Du hast Freude daran, ein Team zu führen, zu motivieren und zu coachen.
Du bist hoch motiviert, enthusiastisch, hast einen ausgeprägten Sinn für Humor und Ärmel, die sich gut hochkrempeln lassen.
Organisatorisch und kommunikativ bist Du stark – Du behältst den Überblick und lässt Dich nicht so schnell aus der Ruhe bringen.
Du hast starke analytische Fähigkeiten, insbesondere im Hinblick auf Umsatzanalysen, und exzellente Verhandlungskompetenzen.
Fließendes Deutsch & Englisch sowie sichere PC-Kenntnisse, insbesondere Excel, bereiten Dir keine schlaflosen Nächte.
Du hast ein hohes Maß an Reisebereitschaft und einen Führerschein der Klasse B.","Additional informationDas erwartet dich:

Crew Love - Wir arbeiten offen und familiär in flachen Hierarchien miteinander – und du bist natürlich mittendrin
Herzliche Teams mit einer „Can-Do“-Einstellung, die Ideen mit Leidenschaft voranbringen
Attraktive internationale Karrieremöglichkeiten in über 75+ einzigartigen LVMH Maisons
Moderne Ausstattung mit Laptop, Headset, Smartphone, Firmenwagen
Ein jährliches Kontingent an kostenfreien Benefit-Produkten
Kostenfreie Benefit-Dienstleistungen während Deiner Freizeit
30 Tage Jahresurlaub, Vermögenswirksame Leistungen, betriebliche Altersvorsorge & mehr
Eine Unternehmenskultur mit hohem Spaßfaktor
Weitere Mitarbeiterrabatte über Family & Friends Angebote und ""Corporate Benefits"
"Department Manager (m/f/d) Munich, OberpollingerChristian Dior CoutureReference: CDC10807","Department Manager (m/f/d) Munich, Oberpollinger",https://www.lvmh.com/join-us/our-job-offers/CDC10807,Not Available,"Profile
5+ years of retail experience required, preferably with at least 2 years of management, in a luxury product setting
Ability to identify and meet the needs of customers to meet and exceed their expectations
Strong interpersonal, communication, organizational and management skills in a fast-paced environment
Sense of initiative and commercial creativity with fashion sense and good knowledge of the luxury industry
Fluent in German and English, another language on top is a plus","Additional informationThe opportunity to join the LVMH Group (Louis Vuitton Moët Hennessy), the world leader in high-quality and luxury products. We are working in an international environment with passionate people and amazing development opportunities – as we follow the lifelong learning approach.
Working at Dior is not only about entering the world of exclusive luxury, it also offers lovely benefits.

Holiday entitlement of 6 weeks per year
Lunch benefit of 100€ net per month
Public transportation support of 100€ net per month
Additional day off on birthday
Access to Corporate Benefits
Special Employee conditions after successful completion of probation period
Pension Scheme exclusive for DIOR
Referral Program Bonus “Talents are knowing good Talents”
Family Atmosphere & Flat Hierarchies

 
We are already looking forward receiving your application!"
Assistant Corner Manager (m/w/x) Berlin SteglitzSephoraReference: 236572,Assistant Corner Manager (m/w/x) Berlin Steglitz,https://www.lvmh.com/join-us/our-job-offers/236572,Not Available,"ProfileFür unseren Corner im Galeria Karstadt Kaufhof in BERLIN STEGLITZ suchen wir in Vollzeit: Assistant Corner Manager (m/w/x)   Wir suchen dich als Assistant Corner ManagerIn mit … … Fokus auf unsere People & Kunden, Leidenschaft für Retail und Beauty (Make Up, Skin Care, Hair Care & Fragrance) sowie einem Händchen im Umgang mit unseren Brands und dem stetig wachsenden Sortiment.   Dich erwarten … ... eine attraktive Vergütung... eine überdurchschnittliche Anzahl an Urlaubstagen... Personalrabatte & Fitnessangebot... eine betriebliche Altersvorsorge... Weiterbildung & Flächentrainings... ein positives Umfeld & respektvolle Teamarbeit  Deine Mission wird es sein, … … eindrucksvolle Kundenerlebnisse zu kreieren: Du unterstützt das Team dabei, bedeutungsvolle In-Corner-Erlebnisse zu bieten, die eine nachhaltige Markentreue aufbauen. … das Tagesgeschäft im Corner assistierend anzuleiten. Du organisierst, gemeinsam mit dem/der Corner ManagerIn, den Corner und hast einen Blick für Zahlen, Ordnung und Sauberkeit. … unseren Omni-Channel-Ansatz voranzutreiben. Du bist Experte oder Expertin für die Verknüpfung von stationärem und digitalem Handel.… unsere Unternehmenskultur zu leben. Pflege eine positive Kultur, in der jede/r geschätzt wird und durch Feedback und Karriereentwicklung Erfolg befähigt wird. Du agierst als motivierendes Vorbild für dein Team.  Wir freuen uns auf dich, wenn du ...  … eine abgeschlossene Ausbildung oder vergleichbare Erfahrung im Bereich Beauty, Kosmetik, Retail, Fashion oder Gastronomie mitbringst.… mindestens ein Jahr Erfahrung als Assistant Manager hast.… ausgeprägte organisatorische, analytische und betriebswirtschaftliche Fähigkeiten sowie eine Leidenschaft für tolle Beauty-Produkte hast.… eine starke soziale Intelligenz und Kommunikationsfähigkeit hast und kurze Gespräche auch auf Englisch führen kannst.  Als Teil der LVMH-Familie liegt es in unserer DNA, innovativ zu sein. Bei Sephora wirst du von engagierten Führungskräften und energiegeladenen Teams umgeben sein, die Spaß daran haben überraschend anders zu sein. Gemeinsam mit dir möchten wir an deinem individuellen Karriereweg arbeiten und deine Kreativität entfesseln, damit du dich weiterentwickeln und deine Fähigkeiten ausbauen kannst.  Hast du Interesse?Bewirb Dich jetzt als „Assistant Corner ManagerIn“ inklusive Lebenslauf und unter Angabe deiner Verfügbarkeit und Gehaltsvorstellung per E-Mail an karriere@sephora.de  oder erreiche uns unter 01520 8666663",Not Available
Assistant Store Manager (m/w/x) HamburgSephoraReference: 210011,Assistant Store Manager (m/w/x) Hamburg,https://www.lvmh.com/join-us/our-job-offers/210011,Not Available,"Profile. Für unseren Sephora Store in HAMBURG suchen wir in Vollzeit: ASSISTANT STORE MANAGER/IN (m/w/x)  Wir suchen dich als Assistant Store ManagerIn mit … … Fokus auf unsere People & Kunden, Leidenschaft für Retail und Beauty (Make Up, Skin Care, Hair Care & Fragrance) sowie einem Händchen im Umgang mit unseren Brands und dem stetig wachsenden Sortiment.  Dich erwarten ... ... eine attraktive Vergütung... eine überdurchschnittliche Anzahl an Urlaubstagen... Personalrabatte und Fitnessangebot... eine betriebliche Altersvorsorge... Weiterbildung & Flächentrainings... ein positives Umfeld & respektvolle Teamarbeit  Deine Mission wird es sein, … … eindrucksvolle Kundenerlebnisse zu kreieren: Du unterstützt das Team dabei, bedeutungsvolle In-Store-Erlebnisse zu bieten, die eine nachhaltige Markentreue aufbauen. … das Tagesgeschäft im Store assistierend anzuleiten. Du organisierst, gemeinsam mit dem/der Store ManagerIn, den Store und hast einen Blick für Zahlen, Ordnung und Sauberkeit. … unseren Omni-Channel-Ansatz voranzutreiben. Du bist Experte oder Expertin für die Verknüpfung von stationärem und digitalem Handel.… unsere Unternehmenskultur zu leben. Pflege eine positive Kultur, in der jede/r geschätzt wird und durch Feedback und Karriereentwicklung Erfolg befähigt wird. Du agierst als motivierendes Vorbild für dein Team.  Wir freuen uns auf dich, wenn du ... … eine abgeschlossene Ausbildung oder vergleichbare Erfahrung im Bereich Beauty, Kosmetik, Retail, Fashion oder Gastronomie mitbringst.… mindestens ein Jahr Erfahrung als Assistant Manager hast.… ausgeprägte organisatorische, analytische und betriebswirtschaftliche Fähigkeiten sowie eine Leidenschaft für tolle Beauty-Produkte hast.… eine starke soziale Intelligenz und Kommunikationsfähigkeit hast und kurze Gespräche auch auf Englisch führen kannst.  Als Teil der LVMH-Familie liegt es in unserer DNA, innovativ zu sein. Bei Sephora wirst du von engagierten Führungskräften und energiegeladenen Teams umgeben sein, die Spaß daran haben überraschend anders zu sein. Gemeinsam mit dir möchten wir an deinem individuellen Karriereweg arbeiten und deine Kreativität entfesseln, damit du dich weiterentwickeln und deine Fähigkeiten ausbauen kannst.    Hast du Interesse?Bewirb Dich jetzt als „Assistant Store ManagerIn Hamburg"" inklusive Lebenslauf und unter Angabe deiner Verfügbarkeit und Gehaltsvorstellung per E-Mail an karriere@sephora.de  .",Not Available
"Retail Director (m/f/d) Germany, Head Office MunichChristian Dior CoutureReference: CDC10274","Retail Director (m/f/d) Germany, Head Office Munich",https://www.lvmh.com/join-us/our-job-offers/CDC10274,"Job responsibilities“Whatever you do — for work or pleasure — do it with passion! Live with passion!” Christian Dior
Christian Dior Couture offers more than a beautiful brand to our clients; We invite them to be part of the heritage, to share our passion for luxury and to be part of the Dior family. We look for the same desire in our employees, to have enthusiasm and passion about being part of the House of Dior.
You are a visionary leader with a passion for luxury retail? We are looking for a Retail Director (m/f/d) Germany for our seven boutiques (2 MUC, 2 BER, HAM, FRA, DUS) based in Munich. This is a rare opportunity to play a pivotal role in shaping the retail strategy and enhancing the DIOR brand experience in the region.
 
TASKS & RESPONSIBILITIES

Developing and implementing retail strategies that drive business growth & brand awareness and enhance the overall clientexperience
Overseeing the day-to-day retail operations and ensuring alignment with global standards in our seven boutiques in Germany
Leading, inspiring, and developing a diverse team of retail talents, fostering a positive and collaborative work environment
Providing guidance, mentorship, and training to ensure the team delivers exceptional client experience and achieves sales targets
Developing and managing budgets, sales forecasts, and financial performance for retail operations as well as implementing initiatives to enhance client loyalty
Analyzing sales data and market trends to make informed decisions that optimize profitability
Managing project tasks related to the opening of new boutiques, including retro planning, budget management, operations, and team coordination
Creating partnerships with local institutions in the countries and competitors 
Ensuring a consistent and exceptional client experience across all retail touchpoints
Collaborate with the CRM & Merchandising Central Europe teams to define a personalized clienteling & product strategy for each boutique, aiming to optimize performance with the local clientele","Profile
At least 10 years of experience in retail management with at least 5 years in a leadership role
Bachelor’s degree in business, Retail Management, or a related field
Strong understanding of the luxury retail market and luxury fashion industry
Exceptional leadership and interpersonal skills with a track record of building and leading high-performing teams
Strategic thinker with a results-oriented mindset as well as excellent communication and negotiation skills and a pure retail lover
Fluent in German and English, another language on top is a plus","Additional informationThe opportunity to join the LVMH Group (Louis Vuitton Moët Hennessy), the world leader in high-quality and luxury products. We are working in an international environment with passionate people and amazing development opportunities – as we follow the lifelong learning approach.
Working at Dior is not only about entering the world of exclusive luxury, it also offers lovely benefits.

Holiday entitlement of 6 weeks per year
Lunch benefit of 100€ net per month
Public transportation support of 100€ net per month
Additional day off on birthday
Access to Corporate Benefits
Special Employee conditions after successful completion of probation period
Pension Scheme exclusive for DIOR
Referral Program Bonus “Talents are knowing good Talents”
Family atmosphere & flat hierarchies

DIOR is an equal opportunity employer and encourages candidates from all backgrounds to apply. We thank all applicants for their interest.
 
We are looking forward to receiving your application."
"Sales Associate (m/f/d) Düsseldorf, KönigsalleeChristian Dior CoutureReference: CDC08251","Sales Associate (m/f/d) Düsseldorf, Königsallee",https://www.lvmh.com/join-us/our-job-offers/CDC08251,"Job responsibilities “Whatever you do — for work or pleasure — do it with passion! Live with passion!” Christian Dior 
Christian Dior Couture offers more than a beautiful brand to our clients; We invite them to be part of the heritage, to share our passion for luxury and to be part of the Dior family. We look for the same desire in our employees, to have enthusiasm and passion about being part of the House of Dior. 
For our boutique in Dusseldorf, we are looking for Sales Associates with passion and drive. As a member of our team, you are responsible for excellent customer care and service quality according to our current standards. You are the ambassador of the Maison Christian Dior and make every customer feel welcomed and cherished on an exclusive level.
 
TASKS & RESPONSIBILITIES

Achieve and exceed individual Sales Goals and Key Performance Indicators (KPI) 
Maintain a strong drive for results and a positive mindset at all times 
Ensure a welcoming client focused environment, which includes offering best in class service, in person, over the phone and through electronic communication 
Develop local and international client book with the ability to recruit and develop top clients 
Demonstrate strong product expertise, engage clients through the details and stories of our products 
Problem-solving in partnership with the management team to ensure that each client issue is properly resolved to the benefit of the business and the client","Profile
2+ years of experience in retail or hospitality environment
Strong drive for business results with a passion for creativity, fashion and the Maison
Strong communication skills, empathy, and agile mindset
Ability to develop lasting relationships with people through strong communication
Provide outstanding customer service including in person, over the phone and through electronic communication
Prioritization and time management skills in a fast-paced environment
Fluent in German and English, another language on top is a plus","Additional informationThe opportunity to join the LVMH Group (Louis Vuitton Moët Hennessy), the world leader in high-quality and luxury products. We are working in an international environment with passionate people and amazing development opportunities – as we follow the lifelong learning approach.  
Working at Dior is not only about entering the world of exclusive luxury, it also offers lovely benefits. 

Holiday entitlement of 6 weeks per year 
Lunch benefit of 100€ net per month 
Public transportation support of 100€ net per month
Additional day off on birthday
Access to Corporate Benefits
Special Employee conditions after successful completion of probation period
Pension Scheme exclusive for DIOR
Referral Program Bonus “Talents are knowing good Talents”
Family Atmosphere & Flat Hierarchies
Opportunities for further training and development
Career opportunities withing the LVMH Group

 
We are already looking forward receiving your application!"
Supplier Quality Engineer (m/w/d) - RIMOWA Produktion KölnRimowaReference: RIM01109,Supplier Quality Engineer (m/w/d) - RIMOWA Produktion Köln,https://www.lvmh.com/join-us/our-job-offers/RIM01109,"Job responsibilitiesIHRE AUFGABEN:

Begleitung des Produktentwicklungsprozesses in enger Abstimmung mit der Entwicklungsabteilung und relevanten Stakeholdern
Betreuung der Lieferantenqualifizierung zur Fertigung neuer Bauteile
Durchführung von regelmäßigen Audits beim Lieferanten sowie Mitwirkung an Fehler- und Ursachenanalysen bei Qualitätsabweichungen
Erarbeitung von Konzepten und Standards zur Lieferantenentwicklung
Reporting und Nachverfolgung von KPIs","ProfileIHR PROFIL:

Abgeschlossenes ingenieurwissenschaftliches Studium (Diplom oder Master) oder vergleichbare Ausbildung
Mehrjährige Berufserfahrung im Bereich Lieferantenqualität und -Management
Erfahrung im Bereich Lieferantenauditierung und -Entwicklung
Ausgeprägte analytisch-strukturierte sowie sorgfältige und selbständige Arbeitsweise gepaart mit einer signifikanten Problemlösefähigkeit
Hohes Maß an Eigeninitiative, Kommunikationsstärke sowie Durchsetzungsvermögen
Verhandlungssichere Sprachkenntnisse in Deutsch und Englisch
Internationale Reisebereitschaft (30 – 50%)","Additional informationWAS WIR IHNEN BIETEN

Eine spannende und verantwortungsvolle Tätigkeit in einem internationalen sowie renommierten Unternehmen
Attraktive Vergütung und umfangreiche Sozialleistungen
Ein agiles Arbeitsumfeld, in dem Innovation und kontinuierliche Verbesserung gefördert werden
Vielfältige Entwicklungsmöglichkeiten und Raum für berufliche Entfaltung
Modern ausgestattete Produktionsstätte und eine state-of-the-art Infrastruktur
Eine positive und teamorientierte Arbeitsatmosphäre
Möglichkeiten zur persönlichen und beruflichen Weiterentwicklung

 
IHRE BENEFITS:

Unbefristeter Arbeitsvertrag
Attraktive Vergütung & Gewinnbeteiligungssystem
30 Tage bezahlter Urlaub pro Jahr und Überstundenausgleich
RIMOWA Essential Cabin Koffer als Geschenk nach der Probezeit
Internationales Umfeld mit spannenden Projektmöglichkeiten
Individuelle Entwicklungsmöglichkeiten
30% Rabatt auf das RIMOWA-Sortiment, sowie weitere Firmenvorteile (z.B. für Sport, Lifestyle, Mode, etc.)
Regelmäßige Private Sales innerhalb der LVMH Gruppe (z.B. Tag Heuer, Moet Hennessy, uvm.)
Regelmäßige Mitarbeiter Events (Sommerfest, Weihnachtsfeier, After Work Events)
Gute Verkehrsanbindung, ausreichend Mitarbeiterparkplätze; Deutschlandticket und Job Bikes (bezuschusst)
Betriebliche Altersvorsorge
LVMH Heartfund in Krisensituationen
Pensionszusage im Todes- oder Invaliditätsfall (arbeitgeberfinanziert)
Qualitatives Betriebsrestaurant

WERDEN SIE TEIL VON RIMOWA:
Bitte senden Sie uns Ihre vollständigen Bewerbungsunterlagen einschließlich Ihrer Gehaltsvorstellungen mit Angabe des nächstmöglichen Eintrittstermins.
Wir freuen uns auf Ihre Bewerbung!
Suchen Sie uns auf Instagram und Twitter @RIMOWA oder besuchen Sie uns auf unserer LVMH Karriere Seite:
https://www.lvmh.com/talents/work-with-us/job-offers/view-our-current-opportunities/?job=&place=8052&experience=&activity=&contract=&reference=&order=company&by=desc
Die Förderung unserer integrativen und vielfältigen Kultur ist ein wesentlicher Bestandteil der DNA von RIMOWA. Wir wissen, dass unser Geschäft nur dann florieren kann, wenn wir in allen Ländern, in denen wir tätig sind, über vielfältige Talente mit unterschiedlichen Hintergründen, Fähigkeiten und Fertigkeiten verfügen und unsere breite Kundenbasis widerspiegeln. Wir betrachten Vielfalt als einen der wichtigsten Faktoren für das Wachstum unseres Unternehmens."
IT Business Analyst (m/f/d)RimowaReference: RIM01097,IT Business Analyst (m/f/d),https://www.lvmh.com/join-us/our-job-offers/RIM01097,"Job responsibilities
Work collaboratively with the IT team and other business units to determine the scope, elicit the requirements, documentation, and implementation timeline of various IT projects;
Lead/facilitate business requirements workshops to understand the business requirements using a variety of techniques;
Translate business needs into clear functional and technical requirements for the developers to develop;
Create user stories / Tasks out of Business Requirements and support in scoping Sprints;
Work closely with developers during the development, testing, implementation and after go-live of the solution;
Responsible to conduct workload estimation for the projects;
Coordinate deliveries, training plan and all processes required for the releases;
Prepare documentation on expected benefits, use cases, current/proposed process, workflows, data flows alongside with the functional and non-functional specifications;
Document affected processes (current mode of operations vs future mode of operation) and procedures;
Participate in the creation of change management and training strategy.","Profile
at least 3+ years of Experience as a Business Analyst, in the consumer product industry for retail, wholesale or manufacturing businesses;
University Degree or College Diploma, preferably in Computer Science or related discipline;
Certified Business Analysis Professional (CBAP), PMP or Scrum Master certification;
Experience with Business Process Reviews and requirements gathering, including the ability to use various techniques (JAD, interviewing, use case modeling, gap-fit analysis, data flow diagrams, process definition, etc.);
Experience in Jira, Confluence, Teamworks, Knowledge of SQL, prior experience with Desktop or Web applications will be an asset;
Strong interpersonal and team-building skills;
Analytical thinking, strong vision, communication skills and persuasiveness, to resolve issues with cross-functional teams;
Enthusiastic and positive attitude towards difficult tasks;
Fluent English oral and written; French or German are assets.","Additional informationYOUR BENEFITS:

30 days paid vacation per year and overtime compensation
Attractive remuneration (collective agreement) + annual profit sharing
International and interesting environment within the LVHM Group
Individual development and coaching opportunities
Exciting project opportunities
30% discount on the RIMOWA product range
Company benefits (e.g. for sports, lifestyle, fashion, etc.).
Regular private sales at RIMOWA and the LVMH Group (e.g. Tag Heuer, Moet Hennessy)
Company pension plan with high employer contribution or other capital-forming benefits
LVMH Heartfund in crisis situations
Pension commitment in the event of death or disability (employer-financed)
Good transport connections, sufficient employee parking spaces, job tickets & job bikes (partly subsidized)
Regular employee events (summer party, Christmas party, after work events)
Qualitative company restaurant

BECOME PART OF RIMOWA:
Please send us your complete application documents including your salary requirements with details of the next possible starting date.
We look forward to receiving your application! 
Look for us on Instagram and Twitter @RIMOWA or visit us on our RIMOWA Career page: https://career.rimowa.com/
Celebrating our inclusive and diverse culture is core to RIMOWA’s DNA. We know that for our business to thrive, we depend on having diverse talent with a range of backgrounds, skills and capabilities in each of the countries in which we operate and to reflect our broad consumer base. We view diversity as one of the key enablers that helps our business to grow."
