Job Title,Company Name,Location,Function,Job Link,Detailed Job Description,Additional Information
(Senior) Consultant (all genders) Transportation - Smart Infrastructure Strategy,Porsche Consulting GmbH,"Stuttgart
München
Berlin",Beratung,https://jobs.porsche.com/index.php?ac=jobad&id=13859,"Aufgaben
Wir sind offen für neue Ideen und schätzen Menschen, die mitdenken und einen eigenen Kopf haben. Je mehr Perspektiven wir einbeziehen, desto innovativer kann unsere Arbeit sein. 
Wir brauchen Menschen, die strategisch denken und pragmatisch handeln, die Zukunft gestalten wollen, die sich mit unseren Werten und unserer Haltung identifizieren und sich für unsere Ziele engagieren.
Bei uns steht der Mensch im Mittelpunkt! Wir fordern und fördern Dich ganz nach Deinen persönlichen Stärken und bieten ein wertschätzendes Arbeitsumfeld mit persönlichen Entwicklungschancen und vielfältigen Aufgaben. Lass uns gemeinsam Maßstäbe setzen und bewirb Dich jetzt.
Beratung des Top-Managements unserer Klienten z.B. in der Entwicklung und Umsetzung der Strategie 2030 eines Infrastrukturunternehmens
Beratung des Top-Managements unserer Klienten z.B. in der Entwicklung und Umsetzung der Strategie 2030 eines Infrastrukturunternehmens
Durchführung von (digitalen) Transformations-, Effizienz-, Optimierungs- und Nachhaltigkeitsprojekten in der Infrastruktur
Erschließung und Realisierung neuer Geschäftsfelder zur Erweiterung intermodaler Angebote z.B. durch Corporate Venturing
Beratung bei der Durchführung von Smart Infrastruktur Projekten z.B. durch die Einführung von Building Information Management (BIM)
Verantwortung für Teilprojekte inklusive der Ergebnispräsentation
Umsetzung eigener Ideen z.B. zur Weiterentwicklung unseres Leistungsportfolios
Gewonnene Erfahrungen geben Sie im Rahmen unseres internen Wissensmanagements an Kollegen weiter
Anforderungen
Überdurchschnittlich abgeschlossenes Masterstudium in (Wirtschafts-)Ingenieurwesen, BWL oder eines vergleichbaren Studiengangs
Mehrjährige Erfahrung in einer Beratung oder alternativ in der branchenspezifischen Industrie in beratender Funktion
Motivation durch gemeinsame Ziele und Lösungen mit dem Team und dem Klienten
Spaß an der Strategieentwicklung und am unternehmerischen Denken
Sehr gute Englisch- und Deutschkenntnisse sowie Reisebereitschaft","Wir sind offen für neue Ideen und schätzen Menschen, die mitdenken und einen eigenen Kopf haben. Je mehr Perspektiven wir einbeziehen, desto innovativer kann unsere Arbeit sein. 
Wir brauchen Menschen, die strategisch denken und pragmatisch handeln, die Zukunft gestalten wollen, die sich mit unseren Werten und unserer Haltung identifizieren und sich für unsere Ziele engagieren.
Bei uns steht der Mensch im Mittelpunkt! Wir fordern und fördern Dich ganz nach Deinen persönlichen Stärken und bieten ein wertschätzendes Arbeitsumfeld mit persönlichen Entwicklungschancen und vielfältigen Aufgaben. Lass uns gemeinsam Maßstäbe setzen und bewirb Dich jetzt.
Beratung des Top-Managements unserer Klienten z.B. in der Entwicklung und Umsetzung der Strategie 2030 eines Infrastrukturunternehmens
Beratung des Top-Managements unserer Klienten z.B. in der Entwicklung und Umsetzung der Strategie 2030 eines Infrastrukturunternehmens
Durchführung von (digitalen) Transformations-, Effizienz-, Optimierungs- und Nachhaltigkeitsprojekten in der Infrastruktur
Erschließung und Realisierung neuer Geschäftsfelder zur Erweiterung intermodaler Angebote z.B. durch Corporate Venturing
Beratung bei der Durchführung von Smart Infrastruktur Projekten z.B. durch die Einführung von Building Information Management (BIM)
Verantwortung für Teilprojekte inklusive der Ergebnispräsentation
Umsetzung eigener Ideen z.B. zur Weiterentwicklung unseres Leistungsportfolios
Gewonnene Erfahrungen geben Sie im Rahmen unseres internen Wissensmanagements an Kollegen weiter"
Kfz-Mechaniker / Diagnosetechniker (m/w/d),Porsche Zentrum Siegen,Siegen,Werkstatt,https://jobs.porsche.com/index.php?ac=jobad&id=13841,"Aufgaben
Hier ist Ihre Chance bei Porsche.
Das Porsche Zentrum Siegen vertreibt mit Porsche eine der erfolgreichsten Sportwagenmarken der Welt. Unser Ziel ist es, diesen Erfolg auch künftig fortzuschreiben und unsere Kunden optimal zu betreuen. Zur Verstärkung unseres Teams bieten wir eine Anstellung als
Kfz-Mechaniker / Diagnosetechniker (m/w/d)
Arbeits-Schwerpunkt: Diagnose/Reparatur von Fahrzeugsystemen und umfangreiche Reparaturen
  Fahrzeug-/Produktkompetenz:
Gute Kenntnisse der Fahrzeugsysteme 
Sehr gute Kenntnisse über Struktur, Funktion und Vernetzung von Systemen 
Detaillierte Kenntnisse des Fachbereichs
Fähigkeit zur Durchführung komplexer Reparaturen 
  Diagnose-Kompetenz:
gute Kenntnisse der Fahrzeugdiagnostik, der geführten Fehlersuche und weiteren Diagnosetechniken/-strategien 
Interpretieren von Ist-Werten und zutreffenden Fehlersymptomen 
Anforderungen
 Abgeschlossene Ausbildung 
 Berufserfahrung im Autohaus von Vorteil
Strukturierte und selbständige Arbeitsweise
Ausgeprägte Kundenorientierung und Teamfähigkeit",Section not found or could not extract additional information
"Schülerpraktikum ""Turbowoche für Mädchen - Entwicklungswerkstätten"" (05.05.-09.05.2025)",Dr. Ing. h.c. F. Porsche AG,Weissach,Werkstatt,https://jobs.porsche.com/index.php?ac=jobad&id=13222,"Aufgaben
Du begeisterst dich für Technik und sportliche Autos?!
Dann bist du bei uns genau richtig! Schaue unseren Mitarbeiter:innen über die Schulter und erhalte spannende Einblicke in unsere Entwicklung. Vielleicht entdeckst du ja sogar deinen zukünftigen Traumjob?!
Wir gehören zu den besten Arbeitgebern Deutschlands und suchen motivierte Schülerinnen für ein BOGY-Praktikum bei uns. Mach den ersten Schritt und sicher dir mit Deiner Bewerbung den Einblick hinter die Kulissen der Porsche-Familie.
Zeitraum:       05.05. – 09.05.2025 (andere Zeiträume sind für dieses Angebot nicht möglich)
Einsatzorte:   Zuffenhausen (Montag), Weissach (Dienstag bis Freitag)
  Wir bieten dir…
eine spannende und abwechslungsreiche Praktikumswoche
Tiefe Einblicke in die Entwicklungswerkstätten Weissach (Modell- und Konzeptbau, Gießerei Konstruktion, Inbetriebnahme, Digitalisierung, Gesamtfahrzeugwerkstätten, Qualitätsmanagement, Werkstofftechnik und viele andere Fertigungstechnologien)
eine exklusive Werksführung durch die Produktion in Zuffenhausen
ein täglich abwechslungsreiches Mittagessen in der Porsche Kantine,
Überblick über die Möglichkeiten, bei Porsche in eine erfolgreiche Zukunft durchzustarten
Anforderungen
Du bringst mit …
großes Interesse an technischen Berufen und Fahrzeugen
gute schulische Leistungen auf dem Gymnasium
die Möglichkeit seitens deiner Schule, dich für das Praktikum zwischen dem 05.05. und 09.05.2025 freistellen zu lassen
Wissbegierde…
…und so richtig Lust, einen Einblick bei Porsche zu erhalten","Du begeisterst dich für Technik und sportliche Autos?!
Dann bist du bei uns genau richtig! Schaue unseren Mitarbeiter:innen über die Schulter und erhalte spannende Einblicke in unsere Entwicklung. Vielleicht entdeckst du ja sogar deinen zukünftigen Traumjob?!
Wir gehören zu den besten Arbeitgebern Deutschlands und suchen motivierte Schülerinnen für ein BOGY-Praktikum bei uns. Mach den ersten Schritt und sicher dir mit Deiner Bewerbung den Einblick hinter die Kulissen der Porsche-Familie.
Zeitraum:       05.05. – 09.05.2025 (andere Zeiträume sind für dieses Angebot nicht möglich)
Einsatzorte:   Zuffenhausen (Montag), Weissach (Dienstag bis Freitag)
  Wir bieten dir…
eine spannende und abwechslungsreiche Praktikumswoche
Tiefe Einblicke in die Entwicklungswerkstätten Weissach (Modell- und Konzeptbau, Gießerei Konstruktion, Inbetriebnahme, Digitalisierung, Gesamtfahrzeugwerkstätten, Qualitätsmanagement, Werkstofftechnik und viele andere Fertigungstechnologien)
eine exklusive Werksführung durch die Produktion in Zuffenhausen
ein täglich abwechslungsreiches Mittagessen in der Porsche Kantine,
Überblick über die Möglichkeiten, bei Porsche in eine erfolgreiche Zukunft durchzustarten"
Sommelier/ Chef de Rang (m/w/d) für den Abendservice im Restaurant Christophorus in Teilzeit (30h/Woche) befristet für 1 Jahr,Porsche Dienstleistungs GmbH,Zuffenhausen,Sonstige,https://jobs.porsche.com/index.php?ac=jobad&id=13852,"Aufgaben
Weinberatung im Restaurant sowie für Veranstaltungen und Menüs
Mithilfe bei dem Weineinkauf und Kontaktpflege zu Weingütern
Lagerhaltung und Organisation des Weinkellers sowie die Begleitung von Inventuren
Betreuung nationaler und internationaler Gäste auf gehobenem Niveau
Aufnahme und Ausführung der Bestellungen für Essen/Trinken
Umsetzung eines reibungslosen Serviceablaufes unter Einhaltung der Qualitätsstandards
Beratende Informationen über Empfehlung der Speise- und Getränkekarte
  Diese Tätigkeit wird im Abendservice von Dienstag bis Samstag ausgeführt.
Anforderungen
Erfolgreich abgeschlossene Berufsausbildung zum/zur Hotelfachmann/-frau oder Restaurantfachmann/-frau
Mehrjährige Berufserfahrung (i.d.R. > 3 J.) in der gehobenen Gastronomie
Fundiertes Wissen zu Wein, Spirituosen und exklusiven Nahrungsmitteln
Hohe Teamorientierung sowie ausgeprägte Kommunikationsfähigkeit
Gastorientierte und aufgeschlossene Arbeitsweise sowie Selbstständigkeit
Gute Englischkenntnisse","Weinberatung im Restaurant sowie für Veranstaltungen und Menüs
Mithilfe bei dem Weineinkauf und Kontaktpflege zu Weingütern
Lagerhaltung und Organisation des Weinkellers sowie die Begleitung von Inventuren
Betreuung nationaler und internationaler Gäste auf gehobenem Niveau
Aufnahme und Ausführung der Bestellungen für Essen/Trinken
Umsetzung eines reibungslosen Serviceablaufes unter Einhaltung der Qualitätsstandards
Beratende Informationen über Empfehlung der Speise- und Getränkekarte
  Diese Tätigkeit wird im Abendservice von Dienstag bis Samstag ausgeführt."
Buchhaltung (m/w/d) in Teilzeit 34 h/Woche,Porsche Niederlassung Stuttgart GmbH,Stuttgart,Finanzen & Controlling,https://jobs.porsche.com/index.php?ac=jobad&id=11074,"Aufgaben
Mitarbeit bei Monats- und Jahresabschlüssen nach HGB und IFRS
Mitarbeit bei den monatlichen Berichte im Rahmen des Konzernberichtswesens
Eigenverantwortliche Bearbeitung von Debitoren, Kreditoren und Mahnwesen
Durchführung der Anlagenbuchhaltung
Meldung der täglichen Liquiditätsbedarfe und Bearbeitung des Zahlungsverkehrs
Kontinuierliche Weiterentwicklung der bestehenden Buchhaltungsprozesse
Buchhalterische Betreuung von drei Standorten 
Anforderungen
Abgeschlossene kaufmännische Ausbildung mit Weiterbildung im Finanzbereich, idealerweise zum Bilanzbuchhalter oder betriebswirtschaftliches Studium mit Schwerpunkt Rechnungswesen
Mehrjährige Berufserfahrung in einer vergleichbaren Position (> 3 Jahre), idealerweise Automobilhandels- und Konzernerfahrung
Gute HGB und IFRS Kenntnisse
Sehr gute EDV-Kenntnisse (MS Office) sowie SAP-Kenntnisse (SAP/R3)
Hohe Flexibilität und hohe Teamorientierung
Ausgeprägte Eigeninitiative und Durchsetzungsvermögen","Mitarbeit bei Monats- und Jahresabschlüssen nach HGB und IFRS
Mitarbeit bei den monatlichen Berichte im Rahmen des Konzernberichtswesens
Eigenverantwortliche Bearbeitung von Debitoren, Kreditoren und Mahnwesen
Durchführung der Anlagenbuchhaltung
Meldung der täglichen Liquiditätsbedarfe und Bearbeitung des Zahlungsverkehrs
Kontinuierliche Weiterentwicklung der bestehenden Buchhaltungsprozesse
Buchhalterische Betreuung von drei Standorten"
"Praktikum Supply Chain Management - Einkauf, Qualität & Zoll (m/w/d)",Porsche Lifestyle GmbH & Co. KG,Ludwigsburg,Einkauf & Beschaffung,https://jobs.porsche.com/index.php?ac=jobad&id=13784,"Aufgaben
Du möchtest die spannende Lifestyle Welt von Porsche kennenlernen und mitgestalten – und bist darüber hinaus verhandlungsstark und kommunikativ?
Dann gehe mit Porsche Lifestyle, im Bereich Supply Chain Management, deine nächsten Schritte ins Berufsleben. 
Im Praktikum Supply Chain Management - Einkauf, Qualität & Zoll (m/w/d) erwarten dich folgende Hauptaufgaben:  
Aktive Unterstützung des Teams Einkauf, Qualität und Zoll
Unterstützung des Einkaufs im Bereich allgemeine Beschaffung und Dienstleistungen
Aktive Unterstützung des Einkaufs im Bereich allgemeine Beschaffung und Dienstleistungen
Unterstützung bei Aufgaben im Bereich Zoll & Qualitätsmanagement
Eigenverantwortliche Bearbeitung von Aufgaben in enger Abstimmung mit den Einkäufern und den Fachbereichen
Vorbereitung von Anfragen, Erstellung von Angebotsvergleichen sowie Kostenanalysen
Mitarbeit bei der Durchführung von Angebotspräsentationen und Verhandlungen
Vorbereitung von Vergabeunterlagen zur Präsentation in Entscheidungsgremien
Selbstständiges organisieren von Lieferantenmeetings
Ansprechpartner für externe Dienstleister in administrativen Fragen
Anforderungen
Studium der Wirtschaftswissenschaften, Wirtschaftsingenieurwesen, Wirtschaftsinformatik, Projektmanagement sowie vergleichbarer Studiengang.
Erste Praxiserfahrung im Einkauf von Vorteil
Organisatorische Fähigkeiten
Selbstständige, strukturierte und sorgfältige Arbeitsweise
Sicherer Umgang mit MS Office, insbesondere gute Excel Kenntnisse wünschenswert
Idealerweise erste Erfahrungen mit SAP
Gute Englischkenntnisse wünschenswert
Kommunikations- und Teamfähigkeit
  Start: Ab März 2025 für 6 Monate","Du möchtest die spannende Lifestyle Welt von Porsche kennenlernen und mitgestalten – und bist darüber hinaus verhandlungsstark und kommunikativ?
Dann gehe mit Porsche Lifestyle, im Bereich Supply Chain Management, deine nächsten Schritte ins Berufsleben. 
Im Praktikum Supply Chain Management - Einkauf, Qualität & Zoll (m/w/d) erwarten dich folgende Hauptaufgaben:  
Aktive Unterstützung des Teams Einkauf, Qualität und Zoll
Unterstützung des Einkaufs im Bereich allgemeine Beschaffung und Dienstleistungen
Aktive Unterstützung des Einkaufs im Bereich allgemeine Beschaffung und Dienstleistungen
Unterstützung bei Aufgaben im Bereich Zoll & Qualitätsmanagement
Eigenverantwortliche Bearbeitung von Aufgaben in enger Abstimmung mit den Einkäufern und den Fachbereichen
Vorbereitung von Anfragen, Erstellung von Angebotsvergleichen sowie Kostenanalysen
Mitarbeit bei der Durchführung von Angebotspräsentationen und Verhandlungen
Vorbereitung von Vergabeunterlagen zur Präsentation in Entscheidungsgremien
Selbstständiges organisieren von Lieferantenmeetings
Ansprechpartner für externe Dienstleister in administrativen Fragen"
Praktikum Supply Chain Management - Outbound Logistik (m/w/d),Porsche Lifestyle GmbH & Co. KG,Ludwigsburg,Vertrieb,https://jobs.porsche.com/index.php?ac=jobad&id=13783,"Aufgaben
Du möchtest die spannende Lifestyle Welt von Porsche kennenlernen und mitgestalten – und bist darüber hinaus kundenorientiert und kommunikationsstark?
Dann gehe mit Porsche Lifestyle, im Bereich Supply Chain Management - Outbound Logistik, deine nächsten Schritte ins Berufsleben. 
Im Praktikum Supply Chain Management - Outbound Logistik (m/w/d) erwarten dich folgende Hauptaufgaben:  
Unterstützung bei der operativen Auftragsanlage und -abwicklung im nationalen und internationalen Handel zur weltweiten Versorgung der Vertriebspartner
Mitarbeit bei der Kundenstammdatenverwaltung im SAP-System
Beantwortung externer Partner- und Kundenanfragen im Rahmen des operativen Tagesgeschäfts
Mithilfe bei der Gestaltung des Ersatzteilmanagements inklusive Neubestellung bei Lieferanten und Lizenzpartnern und Versand an Geschäftspartner
Unterstützung bei der Erstellung und Kommunikation von Regel-Reportings
Ansprechpartner für externe Dienstleister in administrativen Fragen
Anforderungen
Studium der Wirtschaftswissenschaften, des Wirtschaftsingenieurwesens sowie vergleichbarer Studiengang mit Schwerpunkt Vertrieb oder Logistik.
Erste Praxiserfahrung im Umgang mit Kunden von Vorteil
Organisatorische Fähigkeiten
Selbstständige, strukturierte und sorgfältige Arbeitsweise
Sicherer Umgang mit MS Office, insbesondere gute Excel Kenntnisse wünschenswert
Idealerweise erste Erfahrungen mit SAP
Sehr gute Englischkenntnisse
Kommunikations- und Teamfähigkeit
  Start: Ab März 2025 für 6 Monate","Du möchtest die spannende Lifestyle Welt von Porsche kennenlernen und mitgestalten – und bist darüber hinaus kundenorientiert und kommunikationsstark?
Dann gehe mit Porsche Lifestyle, im Bereich Supply Chain Management - Outbound Logistik, deine nächsten Schritte ins Berufsleben. 
Im Praktikum Supply Chain Management - Outbound Logistik (m/w/d) erwarten dich folgende Hauptaufgaben:  
Unterstützung bei der operativen Auftragsanlage und -abwicklung im nationalen und internationalen Handel zur weltweiten Versorgung der Vertriebspartner
Mitarbeit bei der Kundenstammdatenverwaltung im SAP-System
Beantwortung externer Partner- und Kundenanfragen im Rahmen des operativen Tagesgeschäfts
Mithilfe bei der Gestaltung des Ersatzteilmanagements inklusive Neubestellung bei Lieferanten und Lizenzpartnern und Versand an Geschäftspartner
Unterstützung bei der Erstellung und Kommunikation von Regel-Reportings
Ansprechpartner für externe Dienstleister in administrativen Fragen"
Praktikum Supply Chain Management - Logistik (m/w/d),Porsche Lifestyle GmbH & Co. KG,Ludwigsburg,Logistik & Supply Chain,https://jobs.porsche.com/index.php?ac=jobad&id=13782,"Aufgaben
Du möchtest die spannende Lifestyle Welt von Porsche kennenlernen und mitgestalten – und bist darüber hinaus gut strukturiert und organsiert?
Dann gehe mit Porsche Lifestyle, im Bereich Supply Chain Management, deine nächsten Schritte ins Berufsleben. 
Im Praktikum Supply Chain Management - Logistik (m/w/d) erwarten dich folgende Hauptaufgaben:  
Unterstützung bei der Abwicklung von Logistikprozessen vom Lieferanten bis zum Kunden
Mitarbeit bei der Steuerung und Optimierung der Prozesse des eingesetzten Logistikdienstleisters
Mitwirkung bei der Konzeption und Durchführung von Projekten
Mitarbeit beim Management von Lieferanten
Unterstützung bei der logistischen Marktbetreuung der weltweiten Vertriebspartner
Bestell- und Auftragsabwicklung im SAP-System
Erstellung von Analysen und Reportings
Anforderungen
Studium des Wirtschaftsingenieurwesens, Maschinenbaus, oder Wirtschaftswissenschaften sowie vergleichbarer Studiengang mit Schwerpunkt Logistik oder Produktionstechnik
Organisatorische Fähigkeiten
Selbstständige, strukturierte und sorgfältige Arbeitsweise
Interesse an komplexen Zusammenhängen und Abläufen
Sicherer Umgang mit MS Office, insbesondere gute Excel Kenntnisse wünschenswert
Idealerweise erste Erfahrungen mit SAP
Gute Englischkenntnisse wünschenswert
Kommunikations- und Teamfähigkeit
  Start: Ab März 2025 für 6 Monate","Du möchtest die spannende Lifestyle Welt von Porsche kennenlernen und mitgestalten – und bist darüber hinaus gut strukturiert und organsiert?
Dann gehe mit Porsche Lifestyle, im Bereich Supply Chain Management, deine nächsten Schritte ins Berufsleben. 
Im Praktikum Supply Chain Management - Logistik (m/w/d) erwarten dich folgende Hauptaufgaben:  
Unterstützung bei der Abwicklung von Logistikprozessen vom Lieferanten bis zum Kunden
Mitarbeit bei der Steuerung und Optimierung der Prozesse des eingesetzten Logistikdienstleisters
Mitwirkung bei der Konzeption und Durchführung von Projekten
Mitarbeit beim Management von Lieferanten
Unterstützung bei der logistischen Marktbetreuung der weltweiten Vertriebspartner
Bestell- und Auftragsabwicklung im SAP-System
Erstellung von Analysen und Reportings"
Praktikum Produktmanagement - Timepieces (m/w/d),Porsche Lifestyle GmbH & Co. KG,Ludwigsburg,Marketing,https://jobs.porsche.com/index.php?ac=jobad&id=13779,"Aufgaben
Du möchtest die spannende Lifestyle Welt von Porsche kennenlernen und mitgestalten – und bist darüber hinaus technisch interessiert und kommunikativ?
Dann gehe mit Porsche Lifestyle, im Bereich Timepieces, deine nächsten Schritte ins Berufsleben. 
Im Praktikum Produktmanagement Timepieces (m/w/d) erwarten dich folgende Hauptaufgaben:  
Aktive Unterstützung der Produktmanager bei der Führung und dem Ausbau der Marke Porsche Design
Mitwirkung bei der Begleitung der Produkte von der Produktideenfindung bis zur Produkteinführung
Mithilfe bei der Koordination, Betreuung und Entwicklung von Produkten
Mitarbeit bei der Ausarbeitung von Vertriebs- und Marketingkonzepten
Mitwirkung bei der Organisation von internationalen Meetings und Konferenzen
Unterstützung bei der Erstellung von Media- und Marktanalysen sowie bei der Pflege von Produktdatenbanken
Mitarbeit in der Verwaltung und Pflege der Musterverwaltung
Anforderungen
Studium der Betriebswirtschaftslehre, des Wirtschaftsingenieurwesens, der Medienwissenschaften oder des Textilmanagements mit Schwerpunkt Produktmanagement oder Marketing, sowie vergleichbarer Studiengang.
Idealerweise erste Praxiserfahrung
Affinität für Lifestyle- und Luxusprodukte
Sicherer Umgang mit MS Office, insbesondere gute PowerPoint Kenntnisse wünschenswert
Idealerweise erste Erfahrungen mit SAP
Sehr gute Englischkenntnisse, idealerweise Kenntnisse einer weiteren Fremdsprache
Kommunikations- und Teamfähigkeit
Selbstständige, strukturierte und sorgfältige Arbeitsweise
  Start ab Januar 2025 für 6 Monate","Du möchtest die spannende Lifestyle Welt von Porsche kennenlernen und mitgestalten – und bist darüber hinaus technisch interessiert und kommunikativ?
Dann gehe mit Porsche Lifestyle, im Bereich Timepieces, deine nächsten Schritte ins Berufsleben. 
Im Praktikum Produktmanagement Timepieces (m/w/d) erwarten dich folgende Hauptaufgaben:  
Aktive Unterstützung der Produktmanager bei der Führung und dem Ausbau der Marke Porsche Design
Mitwirkung bei der Begleitung der Produkte von der Produktideenfindung bis zur Produkteinführung
Mithilfe bei der Koordination, Betreuung und Entwicklung von Produkten
Mitarbeit bei der Ausarbeitung von Vertriebs- und Marketingkonzepten
Mitwirkung bei der Organisation von internationalen Meetings und Konferenzen
Unterstützung bei der Erstellung von Media- und Marktanalysen sowie bei der Pflege von Produktdatenbanken
Mitarbeit in der Verwaltung und Pflege der Musterverwaltung"
Praktikum Retail - Omnichannel Performance (m/w/d),Porsche Lifestyle GmbH & Co. KG,Ludwigsburg,Vertrieb,https://jobs.porsche.com/index.php?ac=jobad&id=13780,"Aufgaben
Du möchtest die spannende Lifestyle Welt von Porsche kennenlernen und mitgestalten – und bist darüber hinaus kundenorientiert und kommunikativ?
Dann gehe mit Porsche Lifestyle, im Bereich Retail, deine nächsten Schritte ins Berufsleben. 
Im Praktikum Retail - Omnichannel Performance (m/w/d) erwarten dich folgende Hauptaufgaben:  
Unterstützung bei der Marktbetreuung im weltweiten Vertrieb
Mitwirkung bei der Koordination von internationalen Vertriebsaktivitäten und Organisation von Veranstaltungen
Unterstützung des Sales Teams bei der Kommunikation mit Vertriebspartnern oder den Porsche Design Stores
Mithilfe bei der Erstellung von Analysen über Marktabsatz und Wettbewerb
Mitwirkung bei der Bearbeitung von Projekten in Abstimmung mit Fachbereichen
Erstellung von Präsentationen und Reportings
Unterstützung im operativen Tagesgeschäft
Anforderungen
Studium der Wirtschaftswissenschaften, der Kommunikationswissenschaften oder des Wirtschaftsingenieurwesens mit Schwerpunkt Vertrieb oder Marketing sowie vergleichbarer Studiengang.
Erste Praxiserfahrung im Vertrieb von Vorteil
Interesse an Textilien und Lifestyle-Accessoires
Sicherer Umgang mit MS Office
Sehr gute Englischkenntnisse, idealerweise Kenntnisse einer weiteren Fremdsprache
Selbständige und strukturierte Arbeitsweise
Hohe Team- und Kommunikationsfähigkeit
  Start: Ab Februar 2025 für 6 Monate","Du möchtest die spannende Lifestyle Welt von Porsche kennenlernen und mitgestalten – und bist darüber hinaus kundenorientiert und kommunikativ?
Dann gehe mit Porsche Lifestyle, im Bereich Retail, deine nächsten Schritte ins Berufsleben. 
Im Praktikum Retail - Omnichannel Performance (m/w/d) erwarten dich folgende Hauptaufgaben:  
Unterstützung bei der Marktbetreuung im weltweiten Vertrieb
Mitwirkung bei der Koordination von internationalen Vertriebsaktivitäten und Organisation von Veranstaltungen
Unterstützung des Sales Teams bei der Kommunikation mit Vertriebspartnern oder den Porsche Design Stores
Mithilfe bei der Erstellung von Analysen über Marktabsatz und Wettbewerb
Mitwirkung bei der Bearbeitung von Projekten in Abstimmung mit Fachbereichen
Erstellung von Präsentationen und Reportings
Unterstützung im operativen Tagesgeschäft"
