Job Title,Health and Insurance Benefits,Career Development Opportunities,Paid Time Off / Vacation,Company Culture and Work Environment,Employee Discounts and Perks
"INTERNSHIP - FINANCE & AUDIT (M/F/D)
    ",True,True,False,True,True
"INTERNSHIP - DATA DOMAIN PLATFORMS & GOVERNANCE (M/F/D)
    ",True,True,False,True,True
"INTERNSHIP - MARKETING (M/F/D)
    ",True,True,False,True,True
"INTERNSHIP - INFORMATION TECHNOLOGY (M/F/D)
    ",True,True,False,True,True
"INTERNSHIP - HUMAN RESOURCES (M/F/D)
    ",True,True,False,True,True
"INTERNSHIP - DIGITAL BRAND SOLUTIONS (M/F/D)
    ",True,True,False,True,True
"INTERNSHIP - INTERNAL COMMUNICATION (M/F/D)
    ",True,True,False,True,True
"INTERNSHIP - KEY CITY BERLIN (M/F/D)
    ",False,True,False,True,True
"SALES ASSISTANT (M/F/D) VOLLZEIT 39h BEFRISTET 2 JAHRE - FACTORY OUTLET, HERZOGENAURACH
    ",False,True,False,False,False
"Internship - Color & Materials Design (m/f/d)
    ",True,True,False,True,True
"Internship - Product Testing & Quality (m/f/d)
    ",True,True,False,True,True
"Internship - Product Development (m/f/d)
    ",True,True,False,True,True
"Internship - Sales (m/f/d)
    ",True,True,False,True,True
"Internship - Footwear Design (m/f/d)
    ",True,True,False,True,True
"Internship - Apparel Pattern Making (m/f/d)
    ",True,True,False,True,True
"Internship - Apparel Design (m/f/d)
    ",True,True,False,True,True
"Manager Payroll - Team Leader (m/f/d)
    ",True,True,False,False,False
"Assistant Manager Category - BU SPW & TR (Temp. till 15.05.2025)
    ",False,False,False,False,False
"Developer Apparel - Running/Credibility Sports (m/f/d)
    ",False,True,False,False,False
"Developer Apparel - Y3 - temp. 01.12.2024-31.12.2025 (m/f/d)
    ",False,True,False,False,False
