Job Title,Health and Insurance Benefits,Career Development Opportunities,Paid Time Off / Vacation,Company Culture and Work Environment,Employee Discounts and Perks
Department Manager (m/w/d) Metzingen,True,True,True,True,False
Department Manager (m/w/d) Zweibrücken,True,True,True,True,False
Sales Associate (m/w/d) Munich,False,True,False,True,True
Sales Associate (w/m/d) für RL Home im KaDeWe,False,True,False,True,True
Sales Associate / Verkäufer (m/w/d) Metzingen Teilzeit 30h,False,True,False,True,True
Sales Associate / Verkäufer (m/w/d) Teilzeit 30h Zweibrücken,False,True,False,True,True
Sales Associate / Verkäufer (m/w/d) Wertheim,True,True,True,True,False
Sales Associate / Verkäufer (m/w/d) Zweibrücken,False,True,False,True,True
Sales Associate Minijobber (m/w/d) Ingostadt,False,True,False,True,True
Minijobber im Verkauf (m/w/d) Wertheim Childrenswear,True,True,True,True,True
Sales Lead (m/w/d) Metzingen,True,True,True,True,False
Sales Support Associate / Lagerist (m/w/d) Zweibrücken,False,True,False,True,True
Sales Support Associate Minijobber (m/w/d) Metzingen,True,True,True,True,False
Senior Sales Associate/Verkäufer (m/w/d) Zweibrücken Teilzeit 20h,False,True,False,True,True
Senior Sales Support Associate (m/w/d) Berlin,False,True,False,True,True
Senior Sales Support Associate (m/w/d) Berlin,False,True,False,True,True
Werkstudent im Verkauf (m/w/d) Neumünster,True,True,True,True,True
