Function,HUGO BOSS attrition
Research,0.5202311873435974
Education,0.4000000059604645
Consulting,0.24242424964904785
Human Resources,0.23884892463684082
Sales,0.20413890480995178
Legal,0.19819819927215576
Marketing,0.19579406082630157
Customer Success and Support,0.18649516999721527
Media and Communication,0.18230563402175903
Finance,0.16568046808242798
Administrative,0.15867158770561218
Engineering,0.14258912205696106
Operations,0.1372319757938385
Information Technology,0.12007874250411987
Arts and Design,0.11489040404558182
Community and Social Services,0.11290322244167328
Program and Project Management,0.10796914994716644
Accounting,0.09756097197532654
Purchasing,0.09137056022882462
Healthcare Services,0.08695652335882187
Quality Assurance,0.0810810774564743
Product Management,0.08064515888690948
Real Estate,0.06779661029577255
Business Development,0.06484641879796982
Entrepreneurship,0.02448979578912258
Military and Protective Services,0.0
