company_name_short,review,topic,prob,review_en,sentiment,topic_name
Porsche,"Gutes Team, Flexibel auch wegen HomeOffice",1,1.0,"Good team, flexible also because of HomeOffice",1,teams_zusammenhalt
PVH,"Absolut abhängig vom Store Team selbst, in den meisten Stores herrscht gute Stimmung",1,0.9936402794952033,"Absolutely dependent on the store team itself, in most stores there is a good mood",1,teams_zusammenhalt
Bosch,"Nichts zu beanstanden, hilfsbereite Teamleiter, gutes Klima, hier und da, ab und an wie überall kleine Herausforderungen, aber ist insgesamt gutes Arbeitsklima.",1,0.7632727121257519,"Nothing to complain about, helpful team leaders, good climate, here and there, from time to time as everywhere small challenges, but is overall good working climate.",1,teams_zusammenhalt
Adidas,"People who can not lead were promoted in positions where they are responsible for other people but do not have the quality to do so. Senior management on top of that is mostly old and due to German law not fireable. That results in managers bullying their subordinates until they get sick or quit. The managers stay and repeat this process with.
None of my former colleagues is happy to still work there.",6,0.9602493447077174,People who can not lead were promoted in positions where they are responsible for other people but do not have the quality to do so. Senior management on top of that is most old and due to German law not fireable. That results in managers bullying their subordinates until they get sick or quit. The managers stay and repeat this process with. None of my former colleagues is happy to still work there.,0,frauen_männer_führungspositionen
Bosch,Tolles internationales Team,1,0.8937435055277186,Great international team,1,teams_zusammenhalt
Porsche,Junges und dynamisches Team,1,1.0,Young and dynamic team,1,teams_zusammenhalt
Porsche,"Die meisten Führungskräfte ,,führen“ über druck und schlechte Gewissen.

Gibt aber auch einige Führungskräfte
welche Top sind. Leider sind davon wenige in der Werkstatt.",6,1.0,"Most executives, who lead over pressure and bad conscience. But also gives some executives which are top. Unfortunately, few of them are in the workshop.",1,frauen_männer_führungspositionen
Mercedes-Benz,Hoher Druck auf Mitarbeiter. Führungskräfte ohne Führungskomptenz.,6,1.0,High pressure on employees. Managers without leadership skills.,0,frauen_männer_führungspositionen
Adidas,Wenn man älter als 45 ist hat man nichts zu lachen,2,1.0,When you're older than 45 you have nothing to laugh about,0,älteren_kollegen_junge
Mercedes-Benz,Die Arbeitsatmosphäre wird durch zahlreiche Events und den Teamzusammenhalt positiv geprägt.,1,0.8118020128826596,The working atmosphere is positively influenced by numerous events and team unity.,1,teams_zusammenhalt
Adidas,"Kommt extrem auf das Team an, ich hatte Glück",1,1.0,"It depends extremely on the team, I was lucky",1,teams_zusammenhalt
Bosch,Arbeitszeiten,0,1.0,Working hours,1,arbeitszeiten_überstunden
Porsche,Tolles Team und wirklich umsichtige Kollegen.,1,1.0,Great team and really careful colleagues.,1,teams_zusammenhalt
Marc O'Polo,"Toller Teamzusammenhalt, es wird sehr auf eine Wohlfühl-Atmosphäre am Headquarter geachtet. Flexible Mobile Office Angebote, etc. runden das ganze ab.",1,0.5677038191343227,"Great team balance, a feel-good atmosphere at the headquarters is very important. Flexible mobile office offers, etc. complete the whole.",1,teams_zusammenhalt
Marc O'Polo,Die Arbeitsatmosphäre ist abhängig vom Team. Die meisten Teams arbeiten gemeinsam an unterschiedlichen Projekten und Aufgaben und stellen sich den Herausforderungen der Branche. Bei einigen Teams ist der aktuelle Wandel allerdings nur schwer umzusetzen und man stößt auf Gegenwind. Grundsätzlich ist das Feeling am HQ-Campus aber gut.,1,0.5647415035743228,"The working atmosphere depends on the team. Most teams work together on different projects and tasks and face the challenges of the industry. For some teams, however, the current change is difficult to implement and one encounters a headwind. Basically, however, the feeling at the HQ campus is good.",1,teams_zusammenhalt
Porsche,"Viele Überstunden, viele Aufreger, Meinung der MA nur bedingt gewünscht",0,1.0,"Many overtime, many exciters, opinion of the MA only limited desired",0,arbeitszeiten_überstunden
Hugo Boss,Stark von der Führungskraft abhängig. Aber das scheißt meist die Kollegen mehr zusammen. Wobei die Atmosphäre die letzten Jahre strak durch fehlende Transparenz und nicht nachvollziehbare Beförderungen gelitten hat.,6,0.818186604703305,Strongly dependent on the manager. But that usually shits the colleagues more together. Although the atmosphere has suffered the last few years strak due to lack of transparency and uncomprehensible promotions.,0,frauen_männer_führungspositionen
Bosch,"Die Atmosphäre im Team ist offen, transparent, motiviert",1,0.7547385749979115,"The atmosphere in the team is open, transparent, motivated",1,teams_zusammenhalt
