Job Title,Health and Insurance Benefits,Career Development Opportunities,Paid Time Off / Vacation,Company Culture and Work Environment,Employee Discounts and Perks
BEAUTY CONSULTANT (M/W/X) HAMBURG,False,False,False,False,False
Stock Room Expert (m/w/x) Berlin AlexanderplatzSephoraReference: 227305,False,False,False,False,False
Stock Room Expert (m/w/x) KölnSephoraReference: 249601,False,False,False,False,False
Client Advisor (m/w/d) DüsseldorfTiffany & Co.Reference: 59261,False,False,False,False,False
Kundenberater (m/w/d)Louis VuittonReference: LVM24642,False,False,False,True,False
Beauty Consultant (m/w/x) SulzbachSephoraReference: 231738,False,False,False,False,False
Mechatroniker (m/f/d) Tagschicht KölnRimowaReference: RIM00751,False,True,True,True,True
InitiativbewerbungMoët HennessyReference: MHE00305,False,False,False,False,False
UHRMACHER (M/W/D) IM LUXUSBEREICHHublotReference: HUBL00702,False,False,False,False,False
Client Advisor & Sales Support (f/m/d) - Berlin KaDeWeBulgariReference: BULG08203,False,False,False,False,False
CLIENT ADVISOR & SALES SUPPORT - STUTTGART (m/f/d)BulgariReference: BULG07861,False,False,False,False,False
Retail Operations Manager (M/W/D)LVMH Fragrance BrandsReference: LVMHFB01994,True,True,True,True,True
Team Manager (m/w/d) Operations Louis VuittonReference: LVM25330,False,False,False,True,False
"Legal Counsel (m/f/d) Central Europe, Head Office MunichChristian Dior CoutureReference: CDC08751",False,True,False,False,False
Werkstudent Finanzbuchhaltung (m/w/d)RimowaReference: RIM01144,False,True,True,True,True
"Sales Associate (m/f/d) Munich, MaximilianstrasseChristian Dior CoutureReference: CDC09901",False,True,False,False,False
Stock Room Expert (m/w/x) Hamburg ÜberseequatierSephoraReference: 252059,False,False,False,False,False
Make up Artist (m/f/x) Hamburg-ÜberseequartierSephoraReference: 243761,False,False,False,False,False
Beauty Consultant (m/w/x) Hamburg ÜberseequatierSephoraReference: 243666,False,False,False,False,False
Lager & Logistik Koordinator (m/w/d)TAG HeuerReference: TAGH01787,False,False,False,False,False
WERKSTUDENT (M/W/D) RETAIL IM LUXUSBEREICH - MÜNCHENTAG HeuerReference: TAGH01785,False,False,False,False,False
MAKE UP ARTIST (M/W/X) HAMBURG,False,False,False,False,False
Store Operations Coordinator (m/f/d) BerlinRimowaReference: RIM01224,False,True,True,False,True
Client Advisor / Minijobber (m/f/d) - HamburgRimowaReference: RIM01223,False,False,False,True,False
Stockist (m/f/d) - MünchenRimowaReference: RIM01222,False,True,False,False,False
Store Operations Coordinator (m/f/d)- MünchenRimowaReference: RIM01219,False,True,True,False,True
Praktikant (m/w/d) Product ManagementLVMH Fragrance BrandsReference: LVMHFB02057,False,False,False,False,False
Stockist (m/f/d) - HamburgRimowaReference: RIM01175,False,True,False,False,False
"Client Advisor, Flagship Maximilianstrasse LoeweLoeweReference: LOEW01660",False,False,False,True,False
Ausbildung zum Uhrmacher (m/w/d) bei Hublot 2025HublotReference: HUBL00794,False,False,False,False,False
DIGITAL MANAGER (M/W/D) DIGITAL MEDIA/ E-COMMERCE/ CRMGuerlainReference: GUER03960,False,False,False,False,False
Internship Human Resources (m/w/d) mit Schwerpunkt Recruiting ab Januar 2025Louis VuittonReference: LVM25836,False,False,False,True,False
Make up Artist (m/w/x) MünchenSephoraReference: 256293,False,False,False,False,False
Senior Client Advisor (m/f/d) - HamburgRimowaReference: RIM01212,False,False,False,True,False
Manager in Training (m/w/d)Louis VuittonReference: LVM25819,False,True,False,False,False
Client Advisor | MunichLoro PianaReference: LORP02723,False,False,False,False,False
Office Coordinator (m/f/d)Tiffany & Co.Reference: 59877,False,False,False,False,False
Aushilfe (m/w/x) MünchenSephoraReference: 256171,False,False,False,False,False
Assistant Corner Manager (m/w/x) MünchenSephoraReference: 236573,False,False,False,False,False
Client Advisor (m/f/d) - Düsseldorf (September- February)RimowaReference: RIM01164,False,False,False,True,False
Working Student (m/w/x) MünchenSephoraReference: 256172,False,False,False,False,False
Facility Management Coordinator (m/w/d)RimowaReference: RIM01206,False,True,True,True,True
Client Advisor (m/f/d) - München RimowaReference: RIM01052,False,False,False,True,False
"Customer Service Coordinator (m/w/d)  für Französisch, Englisch und DeutschHublotReference: HUBL00793",False,False,False,False,False
Key Account Manager (m/w/d)GuerlainReference: GUER04215,False,False,False,False,False
Client Development Manager (m/f/d) Dusseldorf Königsallee Christian Dior CoutureReference: CDC11244,False,True,False,False,False
Kundenberater (m/w/d) DüsseldorfLouis VuittonReference: LVM25759,False,False,False,True,False
"Client Advisor, Breuninger MunichLoeweReference: LOEW01483",False,False,False,False,False
CLIENT ADVISOR & SALES SUPPORT (F/M/D) - FRANKFURTBulgariReference: BULG08626,False,False,False,False,False
Trainee (m/w/d) Controlling im Bereich HRLVMH Perfumes & CosmeticsReference: SSCPC01900,False,False,False,False,False
Executive AssistantMoët HennessyReference: MHE02144,False,True,True,False,True
Team Manager (m/w/d) Louis VuittonReference: LVM25752,False,False,False,True,False
MARKETING INTERN (M/F/D) EMEA - NOV 2024RimowaReference: RIM01199,False,False,False,False,False
Produktionsmitarbeiter Endmontage (m/w/d)RimowaReference: RIM01198,False,True,True,True,True
Area Manager (m/w/d)GuerlainReference: GUER04189,False,False,False,False,False
Human Resources Intern (f/m/d)BulgariReference: BULG08614,False,False,False,False,False
Client Advisor (m/f/d) - HamburgRimowaReference: RIM01192,False,False,False,True,False
Assistant Store Manager (m/f/d) - StuttgartRimowaReference: RIM01150,False,False,False,False,False
Client Advisor | HamburgLoro PianaReference: LORP02705,False,False,False,False,False
Client Advisor | BerlinLoro PianaReference: LORP02704,False,False,False,False,False
"Team Leader, Breuninger MunichLoeweReference: LOEW01741",False,False,False,True,False
Assistant Store Manager (m/w/x) KölnSephoraReference: 220984,False,False,False,False,False
Client Advisor for 6 months (m/f/d) -  Berlin KaDeWe RimowaReference: RIM01191,False,True,False,True,True
"Client Advisor, Munich Maximilianstrasse (Temporary October - January)LoeweReference: LOEW01739",False,False,False,True,False
Aushilfe (m/w/d) HannoverSephoraReference: 255192,False,False,False,False,False
Aushilfe (m/w/d) DresdenSephoraReference: 250216,False,False,False,False,False
(studentische) Aushilfe (m/w/d)Louis VuittonReference: LVM25652,False,False,False,True,False
Ausbildung zum Uhrmacher (m/w/d) bei TAG Heuer 2025LVMH Watches & JewelryReference: ASSWIJ00152,False,False,False,False,False
Assistant Corner Manager (m/w/x) Berlin AlexSephoraReference: 246847,False,False,False,False,False
Praktikant HR Digitalization (m/w/d)LVMH Perfumes & CosmeticsReference: SSCPC01871,False,False,False,False,False
PR & Communications Manager (M/F/D) – EuropeRimowaReference: RIM01143,False,True,True,True,True
CLIENT ADVISOR MUNICH (FT 40H) CelineReference: CELI04228,False,False,False,False,False
CLIENT ADVISOR MUNICH - Fixed Term (FT 40H)CelineReference: CELI04226,False,False,False,False,False
CLIENT ADVISOR  (FT 40H) - HAMBURGCelineReference: CELI04225,False,False,False,False,False
Praktikant (m/w/d) Retail & Training ManagementLVMH Fragrance BrandsReference: LVMHFB02030,False,False,False,False,False
Warehouse Process and Stock SpecialistLouis VuittonReference: LVM25611,False,False,False,False,False
DIOR Couture Retail Leadership Program (RLP) - Junior Manager (m/f/d) Christian Dior CoutureReference: CDC07820,False,True,False,False,False
Aushilfe im Lager (m/w/d) Louis VuittonReference: LVM25579,False,False,False,True,False
Team Manager (M/W/D)Louis VuittonReference: LVM25578,False,False,False,True,False
Working Student (m/w/x) SulzbachSephoraReference: 237770,False,False,False,False,False
Make Up Artist (m/w/x) SulzbachSephoraReference: 237771,False,False,False,False,False
Make Up Artist (m/w/x) OberhausenSephoraReference: 254360,False,False,False,False,False
Beauty Consultant (m/w/x) OberhausenSephoraReference: 230557,False,False,False,False,False
Beauty Consultant (m/w/x) LeipzigSephoraReference: 245458,False,False,False,False,False
Beauty Consultant (m/w/x) DortmundSephoraReference: 241358,False,False,False,False,False
CLIENT ADVISOR & SALES SUPPORT (f/m/d) - Berlin KuDammBulgariReference: BULG08521,False,True,False,False,True
Client Advisor - Berlin (temporary contract)FendiReference: FEND03624,False,False,False,False,False
Project Quality Engineer (m/f/d)RimowaReference: RIM01163,False,True,True,True,True
(studentische) Aushilfe (m/w/d) Louis VuittonReference: LVM25415,False,False,False,True,False
Central Production & Procurement Planning Manager (m/f/d)RimowaReference: RIM01154,False,True,False,True,True
Hausmeister (m/w/d)RimowaReference: RIM01155,False,True,True,True,True
HR Praktikant (m/w/d) Retail RecruitingBeneFit CosmeticsReference: BEFI100984,False,False,False,False,False
Operations Coordinator (m/f/d) - BerlinTiffany & Co.Reference: 59081,False,False,False,False,False
Beauty Consultant (m/w/) FrankfurtSephoraReference: 226386,False,False,False,False,False
Beauty Consultant (m/w/x) KölnSephoraReference: 227091,False,False,False,False,False
Beauty Consultant (m/w/x) Berlin SteglitzSephoraReference: 241840,False,False,False,False,False
Beauty Consultant (m/w/x) MünchenSephoraReference: 229008,False,False,False,False,False
Skin Care Expert (m/f/x) Hamburg-ÜberseequatierSephoraReference: 243763,False,False,False,False,False
Assistant Store Manager (m/w/x) DüsseldorfSephoraReference: 239844,False,False,False,False,False
Stock Room Expert (m/w/x) HamburgSephoraReference: 238748,False,False,False,False,False
Hair Care Expert (m/w/x) HamburgSephoraReference: 238668,False,False,False,False,False
Skin Care Expert (m/w/x) HamburgSephoraReference: 238667,False,False,False,False,False
Beauty Consultant (m/w/x) Berlin AlexSephoraReference: 225730,False,False,False,False,False
"Sales Associate (m/f/d) Munich, Oberpollinger Christian Dior CoutureReference: CDC08897",False,True,False,False,False
Regional Sales Development Manager (m/w/d)BeneFit CosmeticsReference: BEFI100973,False,True,True,True,True
"Department Manager (m/f/d) Munich, OberpollingerChristian Dior CoutureReference: CDC10807",False,True,False,False,False
Assistant Corner Manager (m/w/x) Berlin SteglitzSephoraReference: 236572,False,False,False,False,False
Assistant Store Manager (m/w/x) HamburgSephoraReference: 210011,False,False,False,False,False
"Retail Director (m/f/d) Germany, Head Office MunichChristian Dior CoutureReference: CDC10274",False,True,False,False,False
"Sales Associate (m/f/d) Düsseldorf, KönigsalleeChristian Dior CoutureReference: CDC08251",False,True,False,False,False
Supplier Quality Engineer (m/w/d) - RIMOWA Produktion KölnRimowaReference: RIM01109,False,True,True,True,True
IT Business Analyst (m/f/d)RimowaReference: RIM01097,False,True,True,True,True
