Job Title,Health and Insurance Benefits,Career Development Opportunities,Paid Time Off / Vacation,Company Culture and Work Environment,Employee Discounts and Perks
"INTERNSHIP - FINANCE & AUDIT (M/F/D)
    ",True,True,False,True,True
"INTERNSHIP - DATA DOMAIN PLATFORMS & GOVERNANCE (M/F/D)
    ",True,True,False,True,True
"INTERNSHIP - MARKETING (M/F/D)
    ",True,True,False,True,True
"INTERNSHIP - INFORMATION TECHNOLOGY (M/F/D)
    ",True,True,False,True,True
"INTERNSHIP - HUMAN RESOURCES (M/F/D)
    ",True,True,False,True,True
"INTERNSHIP - DIGITAL BRAND SOLUTIONS (M/F/D)
    ",True,True,False,True,True
"INTERNSHIP - INTERNAL COMMUNICATION (M/F/D)
    ",True,True,False,True,True
"INTERNSHIP - KEY CITY BERLIN (M/F/D)
    ",False,True,False,True,True
"SALES ASSISTANT (M/F/D) VOLLZEIT 39h BEFRISTET 2 JAHRE - FACTORY OUTLET, HERZOGENAURACH
    ",False,True,False,False,False
"Internship - Color & Materials Design (m/f/d)
    ",True,True,False,True,True
"Internship - Product Testing & Quality (m/f/d)
    ",True,True,False,True,True
"Internship - Product Development (m/f/d)
    ",True,True,False,True,True
"Internship - Sales (m/f/d)
    ",True,True,False,True,True
"Internship - Footwear Design (m/f/d)
    ",True,True,False,True,True
"Internship - Apparel Pattern Making (m/f/d)
    ",True,True,False,True,True
"Internship - Apparel Design (m/f/d)
    ",True,True,False,True,True
"Manager Payroll - Team Leader (m/f/d)
    ",True,True,False,False,False
"Assistant Manager Category - BU SPW & TR (Temp. till 15.05.2025)
    ",False,False,False,False,False
"Developer Apparel - Running/Credibility Sports (m/f/d)
    ",False,True,False,False,False
"Developer Apparel - Y3 - temp. 01.12.2024-31.12.2025 (m/f/d)
    ",False,True,False,False,False
"Developer Apparel - Y3 - temp. 01.12.2024-31.12.2025 (m/f/d)
    ",False,True,False,False,False
"3D Artist (Generalist) (m/f/d/)- Temp
    ",False,True,False,True,False
"Product Manager, FTW Women, BU Originals (m/f/d)
    ",False,True,False,False,False
"Product Manager (Football) ACC temp until 12/2025 - BU SPW & TRN (m/f/d)
    ",False,True,False,False,False
"INTERNSHIP - SUPPLY CHAIN (M/F/D)
    ",True,True,False,True,True
"INTERNSHIP - BRAND COMMUNICATIONS (M/F/D)
    ",True,True,False,True,True
"INTERNSHIP - DIGITAL PRODUCT OWNER (M/F/D)
    ",True,True,False,True,True
"Visual Merchandiser (m/f/d) 39h/Woche, befristet 12 Monate - FO Bremen
    ",False,True,False,False,False
"Manager HR - HR Digital (m/f/d), temp for 12 months
    ",False,True,False,False,False
"Senior Creative Producer - Creative Direction - Brand Creative - x 2 (m/f/d)
    ",False,True,False,True,False
"INFOPOINT ASSOCIATE & CASHIER (M/F/D) 39h BEFRISTET 2 JAHRE - FACTORY OUTLET, HERZOGENAURACH
    ",False,True,False,False,False
"Design Director Brand Creative - CD&I x 3 (m/f/d)
    ",False,True,False,True,False
"Assistant Designer - Footwear Innovation (m/f/d)
    ",False,True,False,False,False
"Senior Internal Auditor (m/f/d)
    ",False,True,False,True,False
"FLOOR MANAGER (M/F/D) VOLLZEIT 39h - FACTORY OUTLET, WERTHEIM
    ",False,True,False,False,False
"SALES ASSISTANT & VISUAL MERCHANDISER (M/F/D) 39h BEFRISTET 1 JAHR - BRAND CONCEPT STORE, NÜRNBERG
    ",False,True,False,False,False
"VISUAL MERCHANDISER (M/F/D) VOLLZEIT 39h BEFRISTET 12 MONATE - FACTORY OUTLET, WERTHEIM
    ",False,True,False,False,False
"Manager Innovation Technology Development (Footwear)- temp until 31.12.2025 (m/f/d)
    ",False,True,False,False,False
"Manager VM/ISC Concept Creation (m/f/d)
    ",False,True,False,False,False
"SALES ASSISTANT (M/F/D) VOLLZEIT 39h BEFRISTET 2 JAHRE - FACTORY OUTLET, HERZOGENAURACH
    ",False,False,False,False,False
"Manager Development Apparel -  Originals SMU (m/f/d)
    ",False,True,False,True,False
"CASHIER (M/F/D) 39h BEFRISTET 12 MONATE - BRAND CONCEPT STORE, HERZOGENAURACH
    ",False,True,False,False,False
"Pattern Engineer Apparel | Athlete Servicing (m/f/d) || Advanced Creation
    ",False,True,False,False,False
"Manager Development Apparel - Football temp. 18 months  (m/f/d)
    ",False,True,False,True,False
"Manager Profit Protection (m/f/d) - Global Retail - Retail Operations
    ",False,True,False,True,False
"Sr Designer - Kids Footwear - BU Originals (m/f/d)
    ",False,True,False,True,False
"Sales Assistant & Visual Merchandiser (m/f/d) Vollzeit 39h - 1 Jahr - Factory Outlet Zweibrücken
    ",False,False,False,True,False
