Job Title,Health and Insurance Benefits,Career Development Opportunities,Paid Time Off / Vacation,Company Culture and Work Environment,Employee Discounts and Perks
"INTERNSHIP - DATA DOMAIN PLATFORMS & GOVERNANCE (M/F/D)
    ",True,True,False,True,True
"INTERNSHIP - MARKETING (M/F/D)
    ",True,True,False,True,True
"INTERNSHIP - INFORMATION TECHNOLOGY (M/F/D)
    ",True,True,False,True,True
"INTERNSHIP - FINANCE & AUDIT (M/F/D)
    ",True,True,False,True,True
"SALES ASSISTANT (M/F/D) VOLLZEIT 39h BEFRISTET 2 JAHRE - FACTORY OUTLET, HERZOGENAURACH
    ",False,True,False,False,False
"INTERNSHIP - KEY CITY BERLIN (M/F/D)
    ",False,True,False,True,True
"INTERNSHIP - INTERNAL COMMUNICATION (M/F/D)
    ",True,True,False,True,True
"INTERNSHIP - HUMAN RESOURCES (M/F/D)
    ",True,True,False,True,True
"INTERNSHIP - DIGITAL BRAND SOLUTIONS (M/F/D)
    ",True,True,False,True,True
"Internship - Footwear Design (m/f/d)
    ",True,True,False,True,True
"Internship - Color & Materials Design (m/f/d)
    ",True,True,False,True,True
"Internship - Apparel Design (m/f/d)
    ",True,True,False,True,True
"Internship - Apparel Pattern Making (m/f/d)
    ",True,True,False,True,True
"Internship - Product Testing & Quality (m/f/d)
    ",True,True,False,True,True
"Internship - Product Development (m/f/d)
    ",True,True,False,True,True
"Internship - Sales (m/f/d)
    ",True,True,False,True,True
"Manager Payroll - Team Leader (m/f/d)
    ",True,True,False,False,False
"Assistant Manager Category - BU SPW & TR (Temp. till 15.05.2025)
    ",False,False,False,False,False
"Developer Apparel - Running/Credibility Sports (m/f/d)
    ",False,True,False,False,False
"Manager Development APP - Running/Credibility Sports (m/f/d)
    ",False,True,False,True,False
"Developer Apparel - Y3 - temp. 01.12.2024-31.12.2025 (m/f/d)
    ",False,True,False,False,False
"Manager Development APP - Running/Credibility Sports (m/f/d)
    ",False,True,False,True,False
"Product Manager, FTW Women, BU Originals (m/f/d)
    ",False,True,False,False,False
"Product Manager (Football) ACC temp until 12/2025 - BU SPW & TRN (m/f/d)
    ",False,True,False,False,False
"INTERNSHIP - BRAND COMMUNICATIONS (M/F/D)
    ",True,True,False,True,True
"INTERNSHIP - DIGITAL PRODUCT OWNER (M/F/D)
    ",True,True,False,True,True
"INTERNSHIP - SUPPLY CHAIN (M/F/D)
    ",True,True,False,True,True
"Visual Merchandiser (m/f/d) 39h/Woche, befristet 12 Monate - FO Bremen
    ",False,True,False,False,False
"Senior Creative Producer - Creative Direction - Brand Creative - x 2 (m/f/d)
    ",False,True,False,True,False
"Design Director Brand Creative - CD&I x 3 (m/f/d)
    ",False,True,False,True,False
"Assistant Designer - Footwear Innovation (m/f/d)
    ",False,True,False,False,False
"Senior Internal Auditor (m/f/d)
    ",False,True,False,True,False
"FLOOR MANAGER (M/F/D) VOLLZEIT 39h - FACTORY OUTLET, WERTHEIM
    ",True,True,False,False,True
"VISUAL MERCHANDISER (M/F/D) VOLLZEIT 39h BEFRISTET 12 MONATE - FACTORY OUTLET, WERTHEIM
    ",False,True,False,True,False
"SALES ASSISTANT & VISUAL MERCHANDISER (M/F/D) 39h BEFRISTET 1 JAHR - BRAND CONCEPT STORE, NÜRNBERG
    ",False,True,False,False,False
"Manager VM/ISC Concept Creation (m/f/d)
    ",False,True,False,False,False
"Manager Innovation Technology Development (Footwear)- temp until 31.12.2025 (m/f/d)
    ",False,True,False,False,False
"SALES ASSISTANT (M/F/D) VOLLZEIT 39h BEFRISTET 2 JAHRE - FACTORY OUTLET, HERZOGENAURACH
    ",True,True,False,False,True
"Manager Development Apparel -  Originals SMU (m/f/d)
    ",False,True,False,True,False
"Pattern Engineer Apparel | Athlete Servicing (m/f/d) || Advanced Creation
    ",False,True,False,False,False
"Manager Development Apparel - Football temp. 18 months  (m/f/d)
    ",False,True,False,True,False
"Manager Profit Protection (m/f/d) - Global Retail - Retail Operations
    ",False,True,False,True,False
"Sr Designer - Kids Footwear - BU Originals (m/f/d)
    ",False,True,False,True,False
"Area Manager CDC Operations (m/w/d)
    ",False,True,False,False,False
"Senior Manager Corporate Controlling- Cash Flow / OWC (m/f/d)
    ",False,True,False,False,False
"Sales Assistant & Visual Merchandiser (m/f/d) Vollzeit 39h - 1 Jahr - Factory Outlet Zweibrücken
    ",True,True,False,True,True
"Visual Merchandiser (m/f/d) 39h/Woche, befristet 12 Monate - FO Rostock
    ",False,True,False,False,False
"SENIOR CASHIER (M/F/D) 39h BEFRISTET 12 MONATE - FACTORY OUTLET BRUNNTHAL, MÜNCHEN
    ",False,True,False,False,False
"SALES ASSISTANT (M/F/D) TEILZEIT 20h - FACTORY OUTLET, PIDING
    ",True,True,False,False,True
"Senior Manager Sales Running Specialty {m/f/d] - Cluster Central - TEMP UNTIL 12.31.2025
    ",True,True,False,False,False
"Sales Assistant 35h/Woche (m/f/d), befristet 2 Jahre - FO Bremen
    ",True,True,False,False,True
"Floor Manager (m/f/d) - 39/h Woche - Factory Outlet Neumünster
    ",True,True,False,False,True
"Stockroom Associate 39h/Woche  (m/f/d)  - FO Rostock
    ",True,True,False,True,True
"Stockroom Associate 39h/Woche  (m/f/d)  - FO Rostock
    ",True,True,False,True,True
"Stockroom Associate 39h/Woche  (m/f/d)  - FO Rostock
    ",True,True,False,True,True
"Senior Stockroom Associate 39h/Woche (m/w/d)  - FO Rostock
    ",True,True,False,True,True
"Sales Assistant 39h/Woche (m/f/d) FO Rostock
    ",True,True,False,False,True
"Senior Sales Assistant (m/f/d) 39h -  FO Rostock
    ",False,True,False,False,False
"Sales Assistant (m/f/d) Vollzeit 39h/Woche, befristet 2 Jahre - Factory Outlet Wustermark Berlin
    ",True,True,False,False,True
"Senior Sales & Business Analyst - Temp until end of 2026(m/f/d)
    ",False,True,False,True,False
"Senior Administrative Assistant - Footwear Production
    ",False,True,True,False,False
"Senior Manager Finishing & Sample Competence Center (m/w/d)
    ",True,True,False,False,False
"Floor Manager (m/f/d) - 39/h Woche - ADIDAS Factory Outlet Bremen
    ",True,True,False,False,True
"Stockroom Associate (m/f/d) 30/Woche - Factory Outlet Wustermark Berlin
    ",False,True,False,False,False
"RETAIL ASSISTANT MINIJOB (M/F/D) BEFRISTET - FACTORY OUTLET WERTHEIM
    ",False,True,False,False,False
"Senior Manager Global SCM Outbound (m/f/d) temp 18 months
    ",False,True,False,True,False
"Sales Assistant 39h (m/f/d) adidas Factory Outlet Neumünster
    ",False,True,False,False,False
"Sales Assistant 39h (m/f/d) adidas Factory Outlet Neumünster
    ",False,True,False,False,False
"Visual Merchandiser (m/f/d) 30h/Woche, befristet 12 Monate - FO Ochtrup
    ",False,True,False,False,False
"Stockroom Associate 30h/Woche (m/f/d) Factory Outlet Kaufpark Eiche Berlin
    ",True,True,False,True,True
"Designer Apparel Graphics - BU Football (m/f/d)
    ",False,True,False,False,False
"Manager Tech Infrastructure (m/f/d)
    ",False,False,False,True,False
"Sales Assistant (m/f/d), Teilzeit, befristet 1 Jahr -  adidas Factory Outlet Zweibrücken
    ",True,True,False,False,True
"Senior Manager Real Estate Central / Cross Border - Europe (M/F/D)
    ",False,True,False,False,False
"Sales Assistant (m/f/d) bis 31.05.25 -  adidas BCES Steglitz, Berlin Schlossstr.
    ",True,True,False,False,True
"Sales Assistant (m/f/d) 20/Woche, befristet 1 Jahr - Factory Outlet Kaufpark Eiche Berlin
    ",True,True,False,False,True
"Senior Manager Retail Capability Programs (m/f/d) Temp (Sep 2024 - Oct 2025) - Global Retail
    ",False,True,False,True,False
"Ausbildung Schuhfertiger/-in (m/w/d) in Scheinfeld 2025
    ",False,True,False,True,True
"Ausbildung Textil- und Modeschneider/-in (m/w/d) 2025
    ",False,True,False,True,True
"Visual Merchandiser (m/w/d), bis 31.07.25 - adidas Factory Outlet Halle/Leipzig, THE STYLE OUTLET
    ",False,True,False,True,False
"Designer Apparel - Innovation CD&I(m/f/d)
    ",False,True,False,True,False
"Senior Designer Apparel - Innovation CD&I (m/f/d)
    ",False,True,False,True,False
"Stockroom Associate (m/f/d) Factory Outlet Neumünster
    ",False,True,False,False,False
"Sales Assistant 20h / temp 6 Monate (m/f/d) adidas Factory Outlet Neumünster
    ",False,True,False,False,False
"Sales Assistant 20h / temp 6 Monate (m/f/d) adidas Factory Outlet Neumünster
    ",False,True,False,False,False
"Sales Assistant (m/f/d) Vollzeit 39h / befristet 6 Monate -  adidas BC Hamburg
    ",True,True,False,False,True
"STOCKROOM ASSOCIATE (M/F/D) TEILZEIT 30h - FACTORY OUTLET, RADOLFZELL
    ",True,True,False,True,True
"Stockroom Associate (m/f/d) 39h/Woche - adidas  Factory Outlet Neumünster
    ",True,True,False,True,True
No Title,False,False,False,False,False
"Stockroom Associate 39h/ Woche (m/f/d), befristet 6 Monate - FO Wolfsburg
    ",False,True,False,False,False
"Rechtsreferendar 2025 (m/f/d)
    ",False,True,False,False,False
"Store Operations Generalist (m/f/d) Teilzeit 30h bis 31.05.2025 - Brand Flagship Store Berlin
    ",False,True,False,False,False
"Assistant Manager 3PL Management (m/f/d)
    ",False,False,False,False,False
"Senior Manager Customer Fulfillment (m/f/d)
    ",True,True,False,True,False
"Retail Assistant (m/f/d) 28-35h/Woche, befristet - ORIGINALS Flagship Store Berlin, Münzstr.
    ",False,True,False,False,False
"Retail Assistant (m/f/d) 28-35h/Woche befr. ab 01.05.24 - adidas BCES Steglitz, Berlin Schlossstr.
    ",True,True,False,False,True
"Visual Merchandiser befristet bis 30.06.2025 39h/Woche  (m/f/d) adidas Brand Flagship Store Berlin
    ",False,True,False,True,False
"SALES ASSISTANT (M/F/D) TEILZEIT 20h - FACTORY OUTLET, RADOLFZELL
    ",False,True,True,True,True
"Lagerleiter (m/f/d) Vollzeit - Factory Outlet, Metzingen
    ",False,True,False,True,False
No Title,False,False,False,False,False
"Sales Assistant / Verkäufer (m/f/d) befristet 1 Jahr - ADIDAS Outlet Halle/Leipzig, THE STYLE OUTLET
    ",True,True,False,False,True
"SALES ASSISTANT (M/F/D) VOLLZEIT 39h - FACTORY OUTLET, PIDING
    ",True,True,False,False,True
"Stockroom Associate (m/f/d) 30/Woche - Factory Outlet Wustermark Berlin
    ",False,True,False,False,False
"Sales Assistant/Verkäufer (m/f/d), 30/h Woche - FO Ochtrup
    ",True,True,False,True,True
"Sales Assistant & VM (m/f/d) - adidas Factory Outlet Neumünster
    ",False,True,False,False,False
"Stockroom Associate (m/w/d) Vollzeit 39h/Woche - Factory Outlet Kaufpark Eiche Berlin
    ",False,True,False,False,False
"Senior Solution Architect (m/f/d)- SAP Finance
    ",False,True,False,True,True
"Schülerpraktikum - Schuhfertiger/in in Scheinfeld
    ",False,True,False,False,False
"Talent Pool - Service & PlanningDistribution Center Rieste
    ",False,False,False,False,False
"RETAIL ASSISTANT MINIJOB (M/F/D) BEFRISTET - FACTORY OUTLET PIDING
    ",False,True,False,False,False
"Retail Assistant Minijob FO Bremen (temp) (m/f/d)
    ",False,True,False,False,False
"Retail Assistant Minijob FO Ochtrup (temp) (m/f/d)
    ",False,True,False,False,False
"Retail Assistant FO Ochtrup (temp) (m/f/d)
    ",False,True,False,False,False
"Sales Assistant (m/f/d) 20h/Woche, befristet 1 Jahr -   adidas Factory Outlet Neumünster
    ",True,True,False,True,True
"Retail Assistant (m/f/d) 28-35h/Woche - Factory Outlet Wustermark Berlin
    ",False,True,False,False,False
"Retail Assistant Minijob (m/f/d) - Factory Outlet Berlin
    ",False,True,False,False,False
"RETAIL ASSISTANT (M/F/D) TEMPORÄR IN TEILZEIT - FACTORY OUTLET, BRUNNTHAL - MÜNCHEN
    ",True,True,False,False,True
"RETAIL ASSISTANT MINIJOB (M/F/D) BEFRISTET - FACTORY OUTLET RADOLFZELL
    ",False,True,False,False,False
"Retail Assistant BC Hamburg (temp) (m/f/d)
    ",False,True,False,False,False
"RETAIL ASSISTANT (M/F/D) BEFRISTET - BRAND CONCEPT STORE FRANKFURT
    ",False,True,False,False,False
"Retail Assistant (m/f/d) 28-35h/Woche, befristet - Brand Flagship Store Berlin
    ",False,True,False,False,False
"Retail Assistant (temp) (m/f/d) adidas Brand Flagship Store Berlin
    ",False,True,False,False,False
"Retail Assistant (m/f/d) 28-35h/Woche, befristet - Brand Flagship Store Berlin
    ",False,True,False,False,False
"Retail Assistant (m/f/d) 28-35h/Woche, befristet - Brand Flagship Store Berlin
    ",False,True,False,False,False
"Retail Assistant (m/f/d) temp 28-35h/week - FO Rostock
    ",False,True,False,False,False
"Retail Assistant Minijob - TEMP -  FO Wolfsburg (m/f/d)
    ",True,True,False,False,True
"Retail Assistant (m/f/d) 28-35h/Woche, befristet - Brand Flagship Store Berlin
    ",False,True,False,False,False
"Retail Assistant - Minijob (m/f/d) - Factory Outlet Neumuenster
    ",False,True,False,False,False
"Retail Assistant Minijob FO Neumünster (temp) (m/w/d)
    ",False,True,False,False,False
"Retail Assistant - 520 EUR (temp) (m/f/d) FO Rostock
    ",False,True,False,False,False
"Retail Assistant (m/f/d) temp 20-25h/week - FO Rostock
    ",False,True,False,False,False
"RETAIL ASSISTANT (M/F/D) BEFRISTET - FACTORY OUTLET WERTHEIM
    ",False,True,False,False,False
"Retail Assistant Minijob FO Metzingen (temp) (m/w/d)
    ",False,True,False,False,False
"RETAIL ASSISTANT (M/F/D) BEFRISTET - FACTORY OUTLET PIDING
    ",False,True,False,False,False
"RETAIL AUSHILFE / FERIENAUSHILFE (M/F/D) FACTORY OUTLET PIDING
    ",False,True,False,False,False
"Retail Assistant Minijob (m/f/d) befristet - Originals Concept Store Berlin
    ",False,True,False,False,False
"Retail Assistant / Verkäufer_ ADIDAS Factory Outlet Halle/Leipzig, THE STYLE OUTLET (temp) (m/f/d)
    ",False,True,False,False,False
"Retail Assistant Minijob ADIDAS Halle/ Leipzig, THE STYLE OUTLET (temp) (m/f/d)
    ",False,True,False,False,False
"Retail Assistant (m/f/d) adidas Original Concept Store Leipziger Platz
    ",False,True,False,False,False
"Retail Assistant  _ Verkäufer /in _ Lagerist /in (temp) (m/f/d) adidas Outlet Bremen Stuhr-Brinkum
    ",False,True,False,False,False
"Retail Assistant Minijob (m/f/d) befristet - OFS Berlin
    ",False,True,False,False,False
"Retail Assistant (m/f/d) 28-35h/Woche, befristet - Brand Flagship Store Berlin
    ",False,True,False,False,False
No Title,False,False,False,False,False
