company_name_short,review,topic,prob,review_en,sentiment,topic_name
Porsche,"Gutes Team, Flexibel auch wegen HomeOffice",1,0.8980743062889682,"Good team, flexible also because of HomeOffice",1,teams_zusammenhalt
PVH,"Absolut abhängig vom Store Team selbst, in den meisten Stores herrscht gute Stimmung",1,1.0,"Absolutely dependent on the store team itself, in most stores there is a good mood",1,teams_zusammenhalt
Adidas,"People who can not lead were promoted in positions where they are responsible for other people but do not have the quality to do so. Senior management on top of that is mostly old and due to German law not fireable. That results in managers bullying their subordinates until they get sick or quit. The managers stay and repeat this process with.
None of my former colleagues is happy to still work there.",9,0.8205349157424504,People who can not lead were promoted in positions where they are responsible for other people but do not have the quality to do so. Senior management on top of that is most old and due to German law not fireable. That results in managers bullying their subordinates until they get sick or quit. The managers stay and repeat this process with. None of my former colleagues is happy to still work there.,0,führungskräfte_führungskompetenz
Bosch,Tolles internationales Team,1,0.9906522834797213,Great international team,1,teams_zusammenhalt
Porsche,Junges und dynamisches Team,1,1.0,Young and dynamic team,1,teams_zusammenhalt
Porsche,"Die meisten Führungskräfte ,,führen“ über druck und schlechte Gewissen.

Gibt aber auch einige Führungskräfte
welche Top sind. Leider sind davon wenige in der Werkstatt.",9,1.0,"Most executives, who lead over pressure and bad conscience. But also gives some executives which are top. Unfortunately, few of them are in the workshop.",1,führungskräfte_führungskompetenz
Mercedes-Benz,Hoher Druck auf Mitarbeiter. Führungskräfte ohne Führungskomptenz.,9,0.9052749622389171,High pressure on employees. Managers without leadership skills.,0,führungskräfte_führungskompetenz
Adidas,Wenn man älter als 45 ist hat man nichts zu lachen,2,1.0,When you're older than 45 you have nothing to laugh about,0,älteren_kollegen_junge
Bosch,Großraumbüro muss man mögen.,7,1.0,You have to like a big office.,1,büros_ausstattung
Adidas,"Kommt extrem auf das Team an, ich hatte Glück",1,1.0,"It depends extremely on the team, I was lucky",1,teams_zusammenhalt
Mercedes-Benz,5 Tage Home Office möglich,4,1.0,5 days Home Office possible,1,homeoffice_möglich
Porsche,Aufgrund von Corona befinden wir uns aktuell im Home Office. Tägliche Teamabsprachen helfen den Arbeitsalltag zu Strukturieren und sorgen für ein gutes Gefühl.,4,0.8570747053491267,"Due to Corona, we are currently in the home office. Daily team meetings help to structure everyday work and ensure a good feeling.",1,homeoffice_möglich
Bosch,Arbeitszeiten,0,1.0,Working hours,1,arbeitszeiten_überstunden
Porsche,Tolles Team und wirklich umsichtige Kollegen.,1,1.0,Great team and really careful colleagues.,1,teams_zusammenhalt
Bosch,"Großraumbüro, moderne Arbeitsplätze, Technik neu",7,0.8011250043637153,"Large-scale office, modern workstations, new technology",1,büros_ausstattung
