Paragraph,Frequency,Category 1,Category 2,Category 3,Category 4,"Diversity, Equity and Inclusion",Attracting the right talent,Employee Listening,Building role-model leadership,Health Management,Work-life integration,Mindset of continuous learning,Recognizing both individual and team performance
Zweck & Gesamtrelevanz für die Organisation:,62,False,False,False,False,False,False,False,False,False,False,False,False
Benötigte Ausbildung und Erfahrung / Mindestanforderung:,61,False,False,False,False,False,False,False,False,False,False,False,False
Verantwortlichkeiten:,60,False,False,False,False,False,False,False,False,False,False,False,False
Vorwiegende Kontakte:,54,False,False,False,False,False,False,False,False,False,False,False,False
"Grundlegende Rechtschreib- und Rechenkenntnisse, Kommunikationsfähigkeit",51,False,False,False,False,False,False,False,False,False,False,False,False
Kunden,48,False,False,False,False,False,False,False,False,False,False,False,False
Befugnisse:,47,False,False,False,False,False,False,False,False,False,False,False,False
Kollegen und Vorgesetzte,41,False,False,False,False,False,False,False,False,False,False,False,False
"Belastbarkeit, Flexibilität, Teamfähigkeit",41,False,False,False,False,False,False,False,False,False,False,False,True
Unterstützt in der Durchführung unserer Store Abläufe (Lager & Fläche) und führt die zugeteilten Tätigkeiten gewissenhaft durch,41,False,False,False,False,False,False,False,False,False,False,False,False
Gute bis sehr gute Deutschkenntnisse,41,False,False,False,False,False,False,False,False,False,False,False,False
"Falls zutreffend: Unterstützung bei unseren Omnichannel Tools: Ship from Store, Endless Aisle, Click & Collect",36,False,False,False,False,False,False,False,False,False,False,False,False
g,29,False,False,False,False,False,False,False,False,False,False,False,False
"Baut zu jedem Kunden eine emotionale Bindung auf, indem er/sie als leidenschaftlicher und enthusiastischer Botschafter der Marke auftritt",28,False,False,False,False,False,False,False,False,False,False,False,False
Lässt in seinem/ihrem Store-Bereich aktiv Basiswissen und Fakten über Saisonprodukte in den Serviceansatz einfließen,28,False,False,False,False,False,False,False,False,False,False,False,False
WIR BIETEN:,28,False,False,False,False,False,False,False,False,False,False,False,False
Willst du Teil dieser Reise sein? Dann komm jetzt zu uns,27,False,False,False,False,False,False,False,False,False,False,False,False
"Wir führen einen aktiven Lebensstil, schaffen Innovationen um Sport und Natur in Einklang zu bringen, betrachten die Welt ohne Grenzen und Vorurteile und inspirieren unsere Kunden zu Veränderungen",27,False,False,False,False,False,False,False,False,False,False,False,False
),27,False,False,False,False,False,False,False,False,False,False,False,False
"Erhält ein ansprechendes, angenehmes Umfeld aufrecht, in dem die Kunden gerne einkaufen und achtet dabei auf Visual Merchandising sowie Ordnung und Sauberkeit",27,False,False,False,False,False,False,False,False,False,False,False,False
WIR SCHÄTZEN AN UNSEREN MITARBEITERN:,27,False,False,False,False,False,False,False,False,False,False,False,False
#WePowerPossible,27,False,False,False,False,False,False,False,False,False,False,False,False
DEINE AUFGABEN:,27,False,False,False,False,False,False,False,False,False,False,False,False
"Hallo, dies ist der erste Schritt auf deiner Reise bei adidas",27,False,False,False,False,False,False,False,False,False,False,False,False
Seit mehr als 70 Jahren entwickeln wir die beste Sportausrüstung und inspirieren Millionen von Menschen dabei ihr Leben durch Sport zu verändern,27,False,False,False,False,False,False,False,False,False,False,False,False
Für uns stehen die Mitarbeiter an erster Stelle,27,False,False,False,False,False,False,False,False,False,False,False,False
adidas ist ein Team von rebellischen Optimisten,27,False,False,False,False,False,False,False,False,False,False,False,True
Key Responsibilities:,26,False,False,False,False,False,False,False,False,False,False,False,False
MITARBEITER SCHÄTZEN AN UNS:,25,False,False,False,False,False,False,False,False,False,False,False,False
Übernahme von Kassentätigkeiten (ohne Kassenabschluss),24,False,False,False,False,False,False,False,False,False,False,False,False
Key Relationships:,24,False,False,False,False,False,False,False,False,False,False,False,False
Eine emotionale Verbindung zu den Kunden soll aufgebaut werden und unsere adidas Markenwerte sollen gelebt werden,24,False,False,False,False,False,False,False,False,False,False,False,False
Kennt die Store-Ziele und unterstützt aktiv dabei diese zu erreichen,24,False,False,False,False,False,False,False,False,False,False,False,False
Ordnungsgemäße Einlagerung der Ware mit Preisauszeichnung und Lagerpflege,24,False,False,False,False,False,False,False,False,False,False,False,False
Mitarbeiterbeteiligungsprogramm (Aktien),23,False,False,False,False,False,False,False,False,False,False,False,False
Essen- und Fahrtkostenzuschuss,23,False,False,False,False,False,False,False,False,False,False,False,False
Versicherungsangebote,23,False,False,False,False,False,False,False,False,False,False,False,False
Pensionsplan und Frührentenfinanzierung,23,False,False,False,False,False,False,False,False,False,False,False,False
Unsere Einezlhandelgeschäfte sind der erste Kontakt mit unseren Kunden und das Herz der Marke adidas,23,False,False,False,False,False,False,False,False,False,False,False,False
Mitarbeiterkleidung,23,False,False,False,False,False,False,False,False,False,False,False,False
Mitarbeiterrabatt bis zu 44%,23,False,False,False,False,False,False,False,False,False,False,False,False
"Warenaufbereitung (Auspacken, Sichern, Etikettieren, Aufbügeln)",22,False,False,False,False,False,False,False,False,False,False,False,False
Überprüfung der Lieferungen auf Vollständigkeit entsprechend der Lieferscheine,22,False,False,False,False,False,False,False,False,False,False,False,False
Bestückung/Auffüllen von Waren auf der Verkaufsfläche,22,False,False,False,False,False,False,False,False,False,False,False,False
Aufbereitung und Bestückung/Auffüllen von Waren,22,False,False,False,False,False,False,False,False,False,False,False,False
"Hält sich an die Regeln und Abläufe (House of Retail-Regelungen), die für den Store gelten und erhält eine sichere Einkaufs- und Arbeitsatmosphäre aufrecht",22,False,False,False,False,False,False,False,False,False,False,False,False
Erfahrung im Verkauf (Einzelhandel) wünschenswert,22,False,False,False,False,False,False,False,False,False,False,False,False
NA,21,False,False,False,False,False,False,False,False,False,False,False,False
